Name,playerid,real,kml2,kml3,pred
Trevor Hoffman,1035,0.4,1.37,0.86,0.56
Jake Peavy,1051,3.7,2.5,6.0,5.57
Ryan Franklin,1076,-0.4,0.94,0.09,0.0
Freddy Garcia,1077,0.0,1.05,2.1,0.4
Gil Meche,1089,4.2,2.62,3.66,2.61
Jamie Moyer,1091,2.5,2.39,3.16,3.28
Joel Pineiro,1094,0.6,0.63,1.1,0.42
Rafael Soriano,1100,0.1,0.9,0.85,1.06
Jason Isringhausen,1158,-0.3,0.0,0.96,0.98
Matt Morris,1172,-0.4,2.12,2.93,2.69
Jesus Colome,1198,0.2,0.08,0.24,0.24
Bobby Seay,1225,1.0,0.36,0.36,0.43
Jorge Sosa,1228,-0.3,0.7,0.03,0.55
Francisco Cordero,1243,0.7,1.5,0.69,1.25
Doug Davis,1244,2.3,0.89,1.22,2.68
Rudy Seanez,1279,0.2,0.25,0.19,0.05
Scott Eyre,1300,0.6,0.0,0.22,0.49
Roy Halladay,1303,6.6,3.06,3.09,2.99
Joaquin Benoit,1437,-0.2,0.76,0.25,0.22
Brendan Donnelly,1441,-0.2,0.5,0.17,-0.05
Randy Flores,1446,-0.3,0.65,0.19,0.75
Aaron Harang,1451,1.4,4.2,5.17,5.68
Jon Rauch,1475,0.9,0.63,1.18,1.21
John Lackey,1507,1.4,3.78,3.85,3.24
Kirk Saarloos,1516,0.2,0.21,-0.07,0.02
Mark Hendrickson,1574,1.0,0.52,0.6,0.5
Jason Davis,1598,0.1,0.47,0.46,0.3
Nate Robertson,1620,1.1,2.88,1.41,1.3
Cliff Lee,1636,6.8,1.85,1.4,1.27
Russ Springer,1652,0.6,0.5,0.5,0.9
Oscar Villarreal,1654,-1.0,0.72,0.42,0.25
Jose Contreras,1660,2.0,3.4,3.17,2.14
Javier Lopez,1663,0.1,-0.01,0.07,0.16
Jeremy Bonderman,1667,0.3,2.57,2.2,2.77
Wil Ledezma,1669,0.1,0.14,-0.05,0.37
Trever Miller,1672,0.6,0.58,0.03,0.47
Kiko Calero,1676,0.1,0.46,0.56,0.65
Brandon Webb,1692,5.4,4.66,4.71,4.7
Derrick Turnbow,1694,-0.4,0.26,0.22,0.26
Claudio Vargas,1695,0.2,0.5,0.3,1.95
Todd Wellemeyer,1709,1.7,0.32,0.31,0.39
Jose Valverde,1726,1.1,0.63,0.88,0.93
Edgar Gonzalez,1727,-0.1,0.5,0.35,0.04
Aaron Heilman,1751,-0.4,0.34,0.98,0.66
Dan Haren,1757,6.1,3.27,3.94,3.16
Kevin Correia,1767,0.4,0.24,1.6,0.19
Chad Gaudin,1783,0.7,2.65,2.72,2.02
Jimmy Gobble,1791,-0.3,0.5,0.37,0.3
Kevin Gregg,1793,0.9,0.51,1.13,0.84
Michael Gonzalez,1794,0.1,0.91,0.16,0.82
Neal Cotts,1797,0.1,0.11,-0.17,0.32
Jon Adkins,1799,-0.1,0.09,0.18,-0.04
Geoff Geary,1813,0.6,0.21,-0.08,-0.03
Chad Cordero,1816,0.0,0.5,0.13,0.25
Vinnie Chulk,1838,-0.3,-0.27,0.67,0.21
John Grabow,1848,0.3,0.71,0.52,0.46
Ryan Madson,1852,1.2,0.18,-0.0,0.54
Shawn Camp,1855,0.6,0.34,0.37,0.32
Michael Wuertz,1856,0.1,0.93,1.04,0.43
Brian Falkenborg,1859,-0.2,-0.03,0.16,0.19
Greg Aquino,1899,-0.1,0.5,0.4,0.19
Jason Frasor,1906,-0.1,0.7,0.87,0.62
Scott Proctor,1911,-0.2,0.36,0.11,0.09
Matt Thornton,1918,1.8,0.39,0.87,1.06
Brian Bruney,1929,0.5,0.23,0.5,0.09
Daniel Cabrera,1931,0.1,2.29,1.79,1.97
Scott Dohmann,1936,-0.1,-0.08,0.03,0.38
Elizardo Ramirez,1946,-0.1,0.5,0.5,0.95
Denny Bautista,1947,-0.1,0.0,0.19,-0.04
Saul Rivera,2027,1.3,0.66,0.31,0.15
Matt Guerrier,2061,-0.7,0.49,-0.13,0.48
Jose Veras,2063,0.0,-0.08,-0.07,-0.07
Jeremy Guthrie,2072,2.2,1.02,1.6,1.6
Chien-Ming Wang,2074,1.5,4.63,2.94,2.75
Fernando Cabrera,2105,-0.5,0.33,0.07,-0.07
Andrew Brown,2115,-0.1,0.37,0.5,-0.2
Gary Majewski,2131,-0.3,0.35,0.02,-0.01
Adam Loewen,2134,-0.3,1.83,1.76,1.79
Angel Guzman,2145,0.1,0.05,0.32,0.3
Sean Henn,2147,-0.1,0.17,0.19,0.03
Yhency Brazoban,2150,0.0,0.06,0.23,0.0
Boof Bonser,2159,0.9,1.4,1.21,1.27
Taylor Buchholz,2168,1.3,1.35,1.38,0.9
Chad Qualls,2170,1.8,-0.04,0.36,0.5
Dennis Sarfate,2174,0.0,0.58,0.59,0.45
Renyel Pinto,2180,-0.4,1.13,0.44,0.58
Jake Woods,2196,-0.4,0.08,0.31,0.03
Justin Hampson,2209,0.5,0.23,0.12,0.37
Ian Snell,2227,2.2,2.35,2.44,3.7
Adam Wainwright,2233,2.4,2.09,3.68,3.65
Jose Capellan,2236,0.0,0.06,0.2,0.41
Blaine Boyer,2237,0.0,0.28,0.13,-0.15
Joel Peralta,2332,-0.8,0.35,0.46,0.62
Todd Coffey,2467,0.0,-0.0,-0.0,0.38
Juan Salas,2533,0.1,0.2,0.27,0.05
Wandy Rodriguez,2586,2.9,3.73,3.85,3.95
Chris Sampson,2651,1.8,0.5,0.63,0.5
Randy Messenger,2658,0.0,0.48,0.12,0.13
Brian Sanches,2739,-0.1,0.04,0.03,0.05
Jack Taschner,2766,0.0,0.45,0.42,0.08
Carlos Marmol,2790,1.4,1.44,1.44,1.39
Manny Corpas,2807,0.8,0.75,0.82,0.86
Franquelis Osoria,2860,-0.2,0.5,0.5,0.03
Santiago Casilla,2873,0.3,0.12,0.48,0.45
Juan Oviedo,2886,0.7,0.32,0.29,0.17
Sean Green,3001,0.9,0.83,0.71,0.68
Doug Slaten,3107,-0.2,-0.04,-0.02,0.0
Manny Delcarmen,3180,1.1,0.29,-0.17,0.3
Zach Miner,3193,0.9,0.02,0.5,0.3
Chris Young,3196,1.5,3.85,2.91,3.29
Ervin Santana,3200,5.3,0.73,2.29,0.5
Roberto Hernandez,3273,0.6,2.16,2.1,2.13
Anibal Sanchez,3284,0.3,0.64,1.1,0.65
Matt Garza,3340,3.3,1.31,2.38,2.38
Juan Morillo,3369,0.0,-0.03,0.02,-0.01
Kason Gabbard,3418,0.3,0.59,0.59,0.76
Brian Burres,3425,0.5,0.44,0.24,0.62
Charlie Haeger,3545,-0.2,0.16,0.16,0.5
Chris Schroder,3553,-0.2,0.2,0.3,0.42
C.J. Wilson,3580,-0.5,0.36,0.51,0.37
Chris Britton,3600,-0.2,0.58,0.89,0.2
Kyle Davies,3642,1.5,-0.23,-0.5,0.36
Jim Johnson,3656,1.0,0.24,0.42,0.11
Brad Hennessey,3720,-0.2,0.0,0.44,0.16
Brandon League,3731,0.1,0.38,0.0,-0.04
Chris Resop,3799,-0.2,0.5,0.38,0.11
Jason Bulger,3915,-0.1,0.06,0.09,0.02
Edward Mujica,3970,0.1,0.43,0.57,0.43
Yusmeiro Petit,4020,0.1,0.1,0.1,0.1
Rafael Perez,4078,1.2,0.98,0.65,0.93
Carlos Villanueva,4138,0.7,-1.06,-1.07,-1.05
Jered Weaver,4235,3.2,1.43,1.64,1.79
Royce Ring,4350,-0.1,0.16,0.21,-0.01
Joe Saunders,4366,2.2,2.15,2.24,1.0
Kameron Loe,4422,0.4,-0.14,1.32,0.63
Dustin Nippert,4426,0.3,0.32,0.71,0.12
Josh Johnson,4567,2.0,2.15,0.7,0.63
Tony Pena,4573,1.0,0.83,0.41,0.76
Clay Hensley,4593,0.0,0.5,0.6,0.5
Dave Bush,4635,1.3,0.45,1.92,2.52
Jason Bergmann,4640,0.8,0.72,0.23,0.45
Pat Neshek,4682,0.1,0.21,0.12,0.28
Jeff Francis,4684,1.5,2.04,3.1,3.44
Matt Cain,4732,3.7,5.4,4.84,5.01
John Maine,4773,1.7,2.61,2.39,2.1
Matt Capps,4788,1.3,0.39,0.3,0.3
Rich Hill,4806,0.0,3.1,2.83,1.31
Jesse Crain,4817,0.5,0.11,0.02,0.2
Chuck James,4886,-0.8,0.95,0.93,-0.32
Peter Moylan,4891,-0.1,0.16,-0.15,0.34
Scott Kazmir,4897,2.3,2.74,3.3,4.49
Devern Hansack,4939,0.1,0.17,0.01,0.28
Cole Hamels,4972,4.7,3.68,3.76,3.8
Mike Pelfrey,5203,3.1,1.29,1.25,1.34
Dana Eveland,5508,2.3,0.5,0.35,0.5
Boone Logan,5525,0.2,0.2,0.3,0.3
Ty Taubenheim,5561,0.2,0.39,0.5,0.5
Brian Bannister,5718,0.9,0.83,1.21,2.0
Tom Mastny,5768,-0.4,-0.01,-0.06,0.35
Jeff Karstens,5879,0.5,0.2,0.7,0.7
Sean Marshall,5905,0.7,0.8,0.8,1.36
Pat Misch,5909,-0.1,0.39,0.23,0.27
Logan Kensing,6166,0.2,0.07,0.38,0.76
Scott Baker,6176,3.3,2.89,3.92,1.36
Shaun Marcum,6204,1.6,1.21,0.85,0.42
Wes Littleton,6236,0.1,0.15,0.29,0.01
Tom Gorzelanny,6244,-0.7,2.2,1.62,2.57
Scott Feldman,6283,0.6,0.5,0.22,0.7
George Sherrill,6291,0.3,-0.15,-0.17,0.08
Jason Hirsh,6293,-0.1,0.5,0.12,0.35
Ryan Feierabend,6336,0.2,0.2,0.2,0.0
Jeremy Accardo,6428,-0.1,1.17,0.75,0.53
Brian Wilson,6485,0.6,0.14,0.17,0.15
Andrew Miller,6785,1.9,0.1,0.1,0.1
James Shields,7059,4.1,2.19,2.15,1.74
Dustin Moseley,7060,0.4,0.71,0.15,0.51
Anthony Reyes,7105,0.5,0.39,0.33,0.91
Kurt Birkins,7266,0.1,0.14,0.31,-0.01
Nick Masset,7267,0.1,0.22,0.25,0.02
Mark Lowe,7416,0.1,0.45,0.5,0.01
Jonathan Sanchez,7507,2.7,0.1,0.79,0.1
Cla Meredith,7613,0.4,0.58,0.43,0.5
Ramon Ramirez,7986,1.8,0.25,0.25,0.5
Eric Stults,8011,0.3,0.42,-0.03,0.06
Glen Perkins,8041,0.4,0.26,0.26,0.73
Yovani Gallardo,8173,0.4,2.45,2.99,2.69
Jae Kuk Ryu,8228,0.0,0.22,1.49,0.43
Taylor Tankersley,8249,-0.6,0.1,0.5,0.2
Bill Bray,8538,0.5,0.1,0.5,0.27
Philip Humber,8586,-0.3,0.19,0.05,0.08
Dustin McGowan,8600,2.1,0.95,1.67,1.11
Brandon Medders,8604,-0.1,0.14,0.15,0.13
Bobby Jenks,8645,1.3,1.38,1.44,1.53
Brian Stokes,8653,0.2,0.34,0.12,0.38
Paul Maholm,8678,3.2,1.59,2.07,3.06
Jorge Campillo,8686,1.9,0.07,0.05,0.02
Justin Verlander,8700,3.2,2.24,4.1,3.52
Jeremy Sowers,9083,0.4,0.5,0.9,0.8
Joey Devine,9862,1.5,0.0,0.5,0.02
