id,Name,playerid,real,pred
4227,Wilton Lopez,4227,0.6,0.96
4235,Jered Weaver,4235,2.3,2.86
4241,Brad Lincoln,4241,-0.4,0.89
4259,David Hernandez,4259,-0.3,1.13
4264,Mark Melancon,4264,2.5,0.2
4300,Matt Albers,4300,0.3,0.24
4338,Tyler Chatwood,4338,1.9,0.86
4363,Craig Breslow,4363,0.5,0.51
4371,Jeremy Hellickson,4371,1.3,1.51
4424,Jon Niese,4424,2.2,2.5
4440,Michael Bowden,4440,0.0,0.06
4505,Jordan Zimmermann,4505,3.8,2.61
4567,Josh Johnson,4567,0.4,2.79
4604,Matt Lindstrom,4604,1.0,0.27
4620,Joe Thatcher,4620,0.2,0.64
4664,Sam LeCure,4664,0.9,0.61
4732,Matt Cain,4732,1.2,2.8
4734,Sergio Santos,4734,0.9,0.12
4759,Jonathan Broxton,4759,-0.3,0.56
4772,Felix Hernandez,4772,6.1,4.82
4782,Vinnie Pestano,4782,-0.4,0.82
4806,Rich Hill,4806,0.1,-0.08
4817,Jesse Crain,4817,1.9,0.76
4831,Clay Rapada,4831,0.0,0.5
4845,Kyle McClellan,4845,-0.2,0.14
4849,Joe Blanton,4849,-0.4,2.65
4891,Peter Moylan,4891,-0.3,0.32
4913,Jarrod Parker,4913,1.3,2.8
4930,Jon Lester,4930,3.3,2.38
4955,Justin De Fratus,4955,0.1,0.07
4971,Fernando Salas,4971,0.0,0.2
4972,Cole Hamels,4972,4.6,4.15
4994,Fernando Abad,4994,0.3,0.48
5032,Dale Thayer,5032,0.0,0.35
5088,Franklin Morales,5088,-0.1,0.94
5089,Scott Diamond,5089,0.1,2.1
5106,Guillermo Moscoso,5106,-0.5,0.51
5164,Alfredo Aceves,5164,-0.6,0.65
5178,Ernesto Frieri,5178,0.7,1.06
5180,Brayan Villarreal,5180,-0.3,0.65
5203,Mike Pelfrey,5203,2.4,1.57
5213,Chris Perez,5213,-0.8,0.85
5221,Wade LeBlanc,5221,0.1,0.89
5231,Vin Mazzaro,5231,0.4,0.58
5279,Chris Tillman,5279,2.0,1.65
5337,Cristhian Martinez,5337,0.0,0.5
5448,Jesse Chavez,5448,0.7,0.25
5523,James McDonald,5523,0.2,1.42
5524,Madison Bumgarner,5524,3.5,3.11
5525,Boone Logan,5525,0.1,0.49
5529,Maikel Cleto,5529,-0.1,0.0
5535,Phil Coke,5535,0.0,0.44
5551,Matt Harrison,5551,0.0,2.62
5556,Jair Jurrjens,5556,0.1,0.42
5640,Tyler Clippard,5640,0.4,0.86
5705,Tim Lincecum,5705,1.4,2.32
5722,Josh Lueke,5722,-0.1,0.05
5746,Eric O'Flaherty,5746,-0.1,0.3
5842,Chad Billingsley,5842,0.1,3.16
5905,Sean Marshall,5905,0.3,0.81
5960,Wesley Wright,5960,0.0,0.44
5985,Randall Delgado,5985,-0.1,0.86
6033,Kelvin Herrera,6033,0.5,1.02
6230,Kyle Kendrick,6230,2.0,1.45
6244,Tom Gorzelanny,6244,0.5,0.19
6248,Aaron Laffey,6248,0.0,0.17
6249,Trevor Cahill,6249,0.7,2.05
6283,Scott Feldman,6283,2.2,2.13
6317,Esmil Rogers,6317,0.1,0.85
6324,Al Alburquerque,6324,0.2,0.45
6371,Henry Rodriguez,6371,-0.4,0.32
6389,Luis Perez,6389,0.1,0.23
6435,Vance Worley,6435,-0.2,1.75
6475,Kevin Jepsen,6475,0.3,0.2
6483,Steve Cishek,6483,1.5,0.67
6485,Brian Wilson,6485,0.4,0.15
6550,Michael Stutes,6550,0.0,0.27
6562,Alex Cobb,6562,2.3,1.59
6612,Marc Rzepczynski,6612,0.2,0.1
6627,Brad Brach,6627,-0.1,0.31
6785,Andrew Miller,6785,0.3,0.54
6865,Jeff Manship,6865,-0.1,0.09
6893,Johnny Cueto,6893,0.7,2.56
6943,Luke Hochevar,6943,1.1,1.3
6983,Drew Storen,6983,0.2,0.14
6986,Ian Kennedy,6986,0.4,2.89
7059,James Shields,7059,4.1,4.14
7169,Ryan Mattheus,7169,0.1,-0.13
7196,Greg Holland,7196,3.1,1.49
7274,Craig Stammen,7274,1.1,0.64
7293,Brad Ziegler,7293,0.5,0.13
7312,Josh Collmenter,7312,0.9,1.04
7355,Casey Janssen,7355,1.2,0.83
7396,Dillon Gee,7396,2.1,1.93
7407,Javy Guerra,7407,0.0,0.18
7416,Mark Lowe,7416,-0.3,0.05
7441,Wade Davis,7441,1.5,1.0
7448,Gio Gonzalez,7448,3.2,3.36
7450,Phil Hughes,7450,1.0,1.94
7474,Ryan Webb,7474,0.5,0.35
7525,Evan Scribner,7525,0.0,0.26
7541,Lucas Harrell,7541,-0.9,1.8
7550,Jake McGee,7550,0.5,1.09
7608,Tommy Milone,7608,1.2,2.61
7645,Chris Leroux,7645,-0.2,0.6
7731,Juan Nicasio,7731,2.1,0.76
7754,Mike Fiers,7754,-0.6,2.72
7773,Shawn Kelley,7773,0.4,0.38
7841,Jerry Blevins,7841,0.3,0.08
7872,Tyson Ross,7872,1.9,0.36
7947,Cory Gearrin,7947,-0.2,0.02
7982,Anthony Bass,7982,-0.1,0.89
7986,Ramon Ramirez,7986,-0.3,0.09
8041,Glen Perkins,8041,1.8,1.11
8044,Jason Vargas,8044,1.7,1.64
8110,Bryan Shaw,8110,1.0,0.23
8173,Yovani Gallardo,8173,1.5,1.88
8223,Brett Anderson,8223,0.3,1.42
8241,David Robertson,8241,1.3,0.81
8258,Huston Street,8258,-0.8,1.1
8280,Tony Sipp,8280,-0.3,0.25
8346,Jared Burton,8346,0.9,0.32
8362,Homer Bailey,8362,3.9,2.47
8574,Edgmer Escalona,8574,-0.2,0.16
8678,Paul Maholm,8678,0.5,1.71
8700,Justin Verlander,8700,4.8,5.09
8779,Wade Miley,8779,1.6,2.52
8782,Andrew Cashner,8782,2.6,1.01
8844,Antonio Bastardo,8844,0.6,0.87
8851,Brandon Beachy,8851,0.2,2.28
8855,Ryan Cook,8855,1.6,0.67
8887,Matt Reynolds,8887,0.4,0.21
9033,Jeanmar Gomez,9033,0.2,0.41
9059,John Axford,9059,-0.5,0.89
9080,Zach Putnam,9080,0.0,0.12
9095,Cody Eppley,9095,0.0,0.13
9111,Brad Hand,9111,0.1,0.34
9132,Nathan Eovaldi,9132,1.5,0.78
9227,Koji Uehara,9227,3.1,1.19
9303,Dylan Axelrod,9303,-0.4,0.7
9325,Jared Hughes,9325,-0.1,0.08
9417,Kris Medlen,9417,2.4,1.93
9425,Doug Fister,9425,4.0,3.3
9486,George Kontos,9486,-0.3,0.39
9490,Jeremy Jeffress,9490,0.1,0.13
9492,Bud Norris,9492,2.7,1.18
9720,Louis Coleman,9720,0.7,0.53
9736,Burke Badenhop,9736,0.2,0.18
9784,Garrett Richards,9784,1.7,0.26
9794,Rex Brothers,9794,1.0,0.92
9817,Sergio Romo,9817,1.0,0.56
9877,Michael Kirkman,9877,0.1,0.37
9926,Bobby Parnell,9926,1.6,0.24
9939,Brandon Kintzler,9939,1.3,0.18
9948,Mike Dunn,9948,0.9,0.22
9975,Tom Wilhelmsen,9975,0.3,1.3
10095,Dane de la Rosa,10095,1.0,0.27
10130,Mike Leake,10130,2.3,1.11
10131,Stephen Strasburg,10131,3.2,4.22
10149,Aaron Crow,10149,-0.2,0.1
10185,Jacob Turner,10185,0.3,0.79
10586,Addison Reed,10586,1.6,0.56
10603,Chris Sale,10603,4.9,4.02
11426,Drew Pomeranz,11426,-0.3,1.29
11827,Steve Delabar,11827,1.2,0.68
13074,Yu Darvish,13074,4.7,3.03
