Name,playerid,real,kml2,kml3,pred
Nate Jones,4696,0.2,0.73,1.23,1.03
Jonathan Broxton,4759,-0.1,0.24,0.21,0.19
Matt Shoemaker,4776,0.2,1.44,1.76,1.79
Rich Hill,4806,2.2,2.59,1.79,4.08
Mike Montgomery,4869,1.3,0.45,0.15,0.29
Brandon Maurer,4878,0.7,0.44,0.31,0.98
Jon Lester,4930,2.9,5.17,5.27,3.84
Fernando Salas,4971,0.3,0.31,0.09,0.02
Cole Hamels,4972,1.8,2.0,2.04,3.01
Fernando Abad,4994,0.3,-0.06,0.02,0.01
Jake Diekman,5003,0.0,0.72,0.52,0.54
Josh Fields,5070,0.2,0.49,0.5,0.83
Jeurys Familia,5114,0.3,2.24,0.96,0.5
Chris Tillman,5279,-1.1,1.37,1.61,1.55
Jose Alvarez,5358,0.3,0.56,0.56,0.67
Brad Peacock,5401,3.2,0.21,-0.08,0.13
Pedro Baez,5420,0.1,0.3,0.5,0.55
Madison Bumgarner,5524,1.6,3.85,4.89,4.65
Boone Logan,5525,0.3,0.62,0.5,0.55
Tyler Clippard,5640,0.2,0.72,1.1,0.95
Junior Guerra,5702,-0.7,1.68,1.64,1.64
Eric O'Flaherty,5746,-0.3,-0.1,0.23,0.16
Danny Salazar,5867,2.2,2.59,3.94,2.33
Randall Delgado,5985,1.2,0.32,0.32,0.56
Kelvin Herrera,6033,0.2,1.08,1.23,1.13
Trevor Cahill,6249,0.2,0.14,0.22,0.65
Scott Feldman,6283,0.9,0.49,0.4,0.5
David Phelps,6316,0.6,0.42,1.02,0.13
Al Alburquerque,6324,0.3,0.47,0.07,-0.0
Chris Archer,6345,4.5,3.15,3.95,3.54
Jake Odorizzi,6397,0.1,3.49,1.25,1.99
Vance Worley,6435,0.1,0.03,0.88,-0.05
Steve Cishek,6483,0.7,0.38,0.29,0.19
Blaine Hardy,6499,-0.2,1.04,0.15,0.55
Tom Koehler,6570,-0.6,1.06,0.5,1.1
Marc Rzepczynski,6612,0.0,0.92,0.23,0.26
Brad Brach,6627,1.0,0.26,0.23,1.11
Carlos Carrasco,6632,5.4,2.15,2.77,1.36
Craig Kimbrel,6655,3.2,1.77,0.94,0.5
Alex Colome,6661,1.2,0.95,0.52,0.94
Julio Teheran,6797,0.8,2.82,3.19,2.56
Robbie Ross Jr.,6819,0.1,0.09,0.46,0.53
Sam Freeman,6832,0.6,-0.21,0.05,-0.01
Johnny Cueto,6893,1.2,3.02,2.49,4.46
Chase Anderson,6895,3.2,0.5,1.2,1.2
Martin Perez,6902,2.3,2.87,3.49,2.28
Joakim Soria,6941,1.8,0.16,0.5,0.57
Drew Storen,6983,-0.1,1.09,0.28,0.11
Luis Garcia,6984,1.3,0.09,0.37,0.19
Ian Kennedy,6986,0.0,1.57,1.81,0.96
Ryan Pressly,7005,0.1,0.85,0.68,1.16
Miguel Gonzalez,7024,1.5,1.04,1.63,0.5
Brad Ziegler,7293,0.5,0.42,0.22,0.25
Josh Collmenter,7312,-0.5,0.47,0.07,0.35
Dan Otero,7385,0.4,0.71,0.28,0.7
Dillon Gee,7396,0.3,0.5,0.33,0.53
Javy Guerra,7407,0.1,0.05,-0.09,-0.34
J.A. Happ,7410,2.8,3.09,3.0,1.98
Wade Davis,7441,1.1,1.54,0.5,0.82
Gio Gonzalez,7448,3.7,2.38,2.61,3.08
Anthony Swarzak,7466,2.2,0.5,0.37,0.1
Tommy Layne,7501,0.0,0.23,0.19,0.17
Evan Scribner,7525,-0.2,0.19,-0.02,-0.05
Collin McHugh,7531,1.1,2.84,1.23,0.75
Jake McGee,7550,1.6,0.14,-0.15,0.49
Nick Vincent,7555,1.8,0.44,0.36,0.03
Jordan Lyles,7593,-0.3,0.54,0.34,0.1
Tommy Milone,7608,-0.4,0.35,0.64,0.3
Carlos Torres,7624,-0.3,-0.16,1.14,0.95
Neil Ramirez,7677,-0.1,-0.11,-0.15,0.35
Juan Nicasio,7731,1.5,0.98,0.81,1.57
Wily Peralta,7738,0.0,0.14,-0.59,-0.59
Shawn Kelley,7773,-1.2,0.4,0.75,0.91
Hunter Strickland,7836,0.8,0.33,0.65,0.17
Jerry Blevins,7841,0.9,0.19,0.3,0.37
Jason Gurka,8007,0.0,0.01,0.02,0.07
Glen Perkins,8041,-0.1,0.29,0.4,0.51
Dan Jennings,8073,-0.1,0.71,1.02,0.49
Bryan Shaw,8110,1.5,0.46,0.17,0.47
Jaime Garcia,8137,1.9,2.72,1.24,0.94
Kevin Siegrist,8180,0.0,0.21,-0.29,0.25
Steven Wright,8185,-0.5,1.4,1.42,1.06
David Robertson,8241,1.9,0.54,0.97,1.51
J.P. Howell,8245,-0.2,0.4,0.02,0.22
Huston Street,8258,0.1,0.5,0.33,0.03
Tony Sipp,8280,-0.2,-0.23,0.18,0.12
AJ Ramos,8350,0.4,0.91,0.47,0.59
Deolis Guerra,8410,-0.1,0.57,0.61,0.36
Danny Farquhar,8501,0.4,-0.14,0.02,0.07
Dustin McGowan,8600,-0.3,0.4,0.67,0.5
Justin Verlander,8700,4.3,4.25,4.5,2.18
Tanner Roark,8753,2.7,0.92,0.5,2.38
Wade Miley,8779,0.6,1.01,1.12,1.4
Andrew Cashner,8782,2.4,1.95,0.39,0.98
Oliver Drake,8823,0.5,0.1,0.08,0.16
Antonio Bastardo,8844,-0.5,0.18,0.29,0.28
Jeanmar Gomez,9033,-0.5,0.27,0.36,0.17
John Axford,9059,-0.3,-0.07,0.34,0.5
Kirby Yates,9073,0.3,0.05,0.08,0.03
Zach Putnam,9080,0.3,0.35,0.61,0.61
Brad Hand,9111,1.6,2.05,0.6,0.55
T.J. House,9121,0.0,0.04,0.46,0.26
Alex Wilson,9239,0.5,0.52,1.03,0.16
Rob Scahill,9286,-0.3,0.11,0.08,0.07
Jared Hughes,9325,0.5,0.5,0.25,0.05
Brandon Morrow,9346,1.6,0.29,0.26,0.18
Josh Tomlin,9388,2.1,0.3,0.3,0.92
Dallas Keuchel,9434,2.3,3.93,1.36,2.09
Dan Straily,9460,2.1,0.04,0.1,0.54
George Kontos,9486,0.5,0.38,0.32,0.07
Jeremy Jeffress,9490,-0.3,0.7,0.43,0.45
Bud Norris,9492,0.5,0.3,1.81,2.07
Vidal Nuno,9674,-0.5,0.04,0.88,0.32
Joe Kelly,9761,0.6,0.57,0.49,0.35
Garrett Richards,9784,0.9,0.7,0.76,1.2
Chaz Roe,9866,0.1,0.36,0.49,0.45
Travis Wood,9884,-0.6,0.19,-0.03,1.16
Chris Rusin,9895,1.2,0.19,0.64,0.99
Brandon Kintzler,9939,1.0,0.61,-0.08,0.36
Mike Dunn,9948,0.2,0.51,0.14,0.24
Tom Wilhelmsen,9975,-0.2,0.02,-0.07,-0.03
Ian Krol,10066,-0.3,0.42,0.41,0.99
Kyle Gibson,10123,1.2,1.86,2.07,1.0
Mike Leake,10130,3.0,1.76,1.57,2.18
Stephen Strasburg,10131,5.8,3.02,3.41,3.42
Brad Boxberger,10133,0.3,-0.02,0.53,0.27
Ryan Weber,10160,0.1,-0.0,0.05,0.09
Jose Ramirez,10171,-0.5,0.06,0.12,0.18
Shelby Miller,10197,0.4,0.5,1.73,2.19
Aroldis Chapman,10233,1.5,0.8,1.42,2.49
Bryan Morris,10234,0.1,0.5,0.19,0.09
Tanner Scheppers,10267,0.1,-0.14,-0.01,0.22
Ryan Tepera,10291,1.0,0.27,-0.17,-0.13
Chris Heston,10302,-0.3,0.0,0.3,0.61
Jarred Cosart,10304,0.2,0.5,0.5,0.5
Erasmo Ramirez,10314,1.1,0.13,0.5,1.89
Michael Tonkin,10315,-0.2,0.92,0.47,0.03
Aaron Loup,10343,0.5,0.03,0.46,0.49
Mychal Givens,10430,1.1,0.72,0.57,0.52
Jake Petricka,10534,-0.1,0.04,0.16,0.17
Addison Reed,10586,0.9,1.99,1.67,1.54
Chad Bettis,10587,0.5,3.05,1.33,1.88
Scott Alexander,10591,1.2,0.05,0.23,0.06
Chris Sale,10603,7.5,3.73,4.19,6.03
Adam Liberatore,10637,0.1,0.66,0.32,0.51
Shane Greene,10756,0.8,1.27,1.15,0.87
Mike Foltynewicz,10811,1.6,1.03,1.69,1.69
Chasen Shreve,10855,0.2,0.19,0.1,0.29
Christian Bergman,10925,-0.2,0.04,0.47,0.26
Josh A. Smith,10946,0.1,0.0,0.08,-0.02
Jacob deGrom,10954,4.1,1.75,3.1,1.68
Jake Buchanan,10962,-0.1,0.04,0.27,0.08
Chase Whitley,10982,0.7,0.16,0.13,0.11
Vince Velasquez,11189,0.2,2.59,2.18,2.12
Tyler Lyons,11334,1.0,0.04,0.27,0.17
Tommy Kahnle,11384,2.2,0.03,0.16,0.1
Jose Quintana,11423,4.1,3.78,4.23,5.71
Drew Pomeranz,11426,2.9,1.7,2.09,1.89
A.J. Schugel,11432,0.2,0.32,0.29,0.32
Matt Grace,11449,0.3,0.02,0.01,0.14
Sammy Solis,11457,0.0,0.09,0.21,0.28
A.J. Cole,11467,0.1,0.62,0.5,0.3
Bryan Mitchell,11479,0.2,0.71,0.6,0.33
Robbie Ray,11486,3.2,2.93,2.5,1.78
Aaron Sanchez,11490,-0.1,0.8,2.35,2.11
Josh Osich,11528,-0.4,-0.08,-0.15,-0.11
Jose Urena,11589,0.3,0.51,0.18,0.54
Heath Hembree,11632,0.5,0.61,0.18,0.12
Carlos Martinez,11682,3.2,2.45,2.99,3.31
Sam Dyson,11710,-0.8,1.56,0.98,0.31
Erik Goeddel,11712,-0.3,0.02,-0.0,-0.02
Justin Grimm,11720,-0.4,0.7,0.43,0.22
Luke Jackson,11752,0.0,0.15,0.2,0.09
Kyle Ryan,11753,-0.1,0.08,0.5,0.5
Justin Nicolino,11754,-0.3,0.64,0.27,0.6
Noah Syndergaard,11762,1.4,6.75,4.94,3.45
Hansel Robles,11801,-0.4,0.37,0.54,0.61
Hector Neris,11804,1.1,0.58,0.6,0.11
James Paxton,11828,4.6,2.98,2.6,2.31
Taijuan Walker,11836,2.4,2.89,3.2,1.18
Michael Feliz,11903,0.4,0.05,0.15,0.09
Matt Andriese,12022,0.5,1.23,1.94,1.49
Kyle Hendricks,12049,2.5,4.66,2.72,2.91
Felipe Vazquez,12076,2.2,0.5,0.44,0.35
David Goforth,12166,0.0,-0.07,-0.11,-0.14
Cody Martin,12182,0.0,0.12,0.07,0.57
Cody Allen,12183,1.4,1.69,1.08,0.47
Seth Maness,12235,-0.2,0.03,0.12,0.34
Dan Winkler,12237,0.3,0.04,0.02,0.04
Leonel Campos,12277,0.0,0.09,0.03,0.02
Evan Marshall,12297,-0.1,0.45,0.11,0.06
Kevin Quackenbush,12360,-0.3,0.32,0.09,0.28
Tony Cingrani,12555,0.0,0.09,0.73,0.5
Blake Treinen,12572,1.3,0.23,0.7,0.88
Adam Morgan,12580,0.4,0.87,1.92,0.73
Mike Wright Jr.,12586,0.0,0.5,0.13,0.5
Nathan Karns,12638,0.5,1.16,1.1,2.74
Jerad Eickhoff,12664,2.0,2.29,2.61,2.8
Roenis Elias,12673,0.0,0.35,0.13,0.01
Tyler Wilson,12691,-0.1,0.67,0.81,0.0
Trevor Bauer,12703,2.8,3.39,2.57,2.53
Nick Martinez,12730,0.3,0.08,0.2,0.02
Rafael Montero,12760,1.2,-0.01,0.08,0.07
Chris Devenski,12763,1.3,1.6,1.59,1.59
Sonny Gray,12768,2.8,2.97,3.51,1.67
Sean Gilmartin,12781,-0.1,0.21,0.22,-0.04
Noe Ramirez,12800,0.1,-0.01,0.06,-0.08
Matt Wisler,12804,-0.1,0.9,0.85,0.45
Alex Meyer,12833,0.8,0.5,0.14,-0.03
Shawn Armstrong,12857,-0.1,0.08,-0.09,0.09
Matt Barnes,12863,0.9,0.37,0.36,0.45
Tony Zych,12876,0.4,0.66,0.34,0.31
Alex Claudio,12890,1.8,0.97,0.49,0.39
Logan Verrett,12905,-0.3,-0.11,-0.11,0.01
Ken Giles,12910,1.8,1.3,1.36,1.36
Archie Bradley,12918,2.0,1.24,0.91,1.94
Andrew Chafin,12988,0.6,0.5,0.31,0.68
Hisashi Iwakuma,13048,-0.2,1.3,0.5,2.95
Wei-Yin Chen,13071,0.5,0.34,1.06,2.06
Gerrit Cole,13125,3.2,4.08,4.41,2.41
Eduardo Rodriguez,13164,1.9,2.27,2.12,2.25
Carson Smith,13172,0.2,0.77,1.3,0.5
Zach Davies,13183,2.7,1.71,1.07,1.17
Michael Fulmer,13218,3.7,2.14,2.11,2.02
Jesse Hahn,13287,1.2,1.23,0.5,0.5
Daniel Coulombe,13293,0.1,0.43,0.15,0.22
James Pazos,13323,0.4,0.02,0.04,0.17
Cam Bedrosian,13360,0.6,0.98,0.6,0.56
Steven Matz,13361,0.3,1.63,1.7,1.52
Chris Beck,13418,-1.2,0.03,-0.06,0.23
Drew VerHagen,13424,-0.4,0.03,0.01,0.1
Marcus Stroman,13431,3.2,1.74,2.88,5.45
Mike Morin,13442,0.0,0.41,0.6,0.65
Daniel Norris,13475,1.4,1.26,0.36,0.31
Alec Asher,13560,0.1,1.29,1.05,1.31
Carl Edwards Jr.,13607,1.0,0.41,0.64,0.73
Nick Goody,13685,0.7,0.15,0.14,0.14
Kyle Barraclough,13713,0.7,0.61,0.52,0.61
Tyler Duffey,13758,0.7,3.18,1.5,1.16
Dominic Leone,13763,1.5,0.15,0.39,0.5
Roberto Osuna,13764,2.9,0.5,0.5,0.5
Alex Wood,13781,3.1,1.1,0.28,0.39
Scott Oberg,13911,0.9,0.06,0.32,0.32
Ryan Dull,13974,0.0,0.18,0.24,-0.06
Michael Wacha,14078,3.1,1.72,4.63,2.14
Kevin Gausman,14107,2.3,3.28,4.36,3.69
Lance McCullers Jr.,14120,2.9,2.49,2.49,2.49
Dario Alvarez,14239,0.1,-0.08,-0.1,0.25
Adam Conley,14457,-0.1,1.45,2.29,2.14
Jose Valdez,14470,-0.5,0.41,-0.02,0.02
Tyler Olson,14741,0.5,0.16,0.12,0.19
Buck Farmer,14814,0.4,-0.07,0.12,-0.04
Michael Lorenzen,14843,0.8,0.2,0.27,0.28
Zack Godley,14862,3.4,0.36,0.38,0.34
Jon Gray,14916,3.5,2.32,3.32,2.32
Corey Knebel,15010,2.7,0.34,0.5,0.5
Kyle Crockett,15033,0.0,0.34,0.7,0.23
Trevor Gott,15046,-0.1,0.65,0.2,0.38
Andrew Heaney,15423,-0.8,1.0,0.5,0.5
Matthew Boyd,15440,2.2,0.49,0.36,0.33
Kendall Graveman,15514,1.1,1.44,0.6,2.18
Masahiro Tanaka,15764,2.7,3.33,5.2,4.65
Odrisamer Despaigne,16017,0.7,-0.2,0.32,-0.04
Carlos Rodon,16137,0.6,2.33,2.51,2.79
Aaron Nola,16149,4.6,3.02,3.06,2.9
Brandon Finnegan,16208,0.1,0.5,0.5,0.5
Raisel Iglesias,17130,1.9,1.43,1.29,1.14
Brian Ellington,17233,-0.5,0.02,0.43,0.24
Seunghwan Oh,18719,0.0,0.5,0.5,0.5
