Name,playerid,WAR23,WAR24,WAR25
Sean Marshall,5905,0.4,1.1,0.7
John Boozer,1001194,-0.2,0.1,0.5
Bill Castro,1002077,0.9,0.0,-0.1
Reggie Cleveland,1002347,3.5,3.5,4.3
John Cumberland,1002871,0.7,0.1,-1.1
Bob Kipper,1006956,-0.4,0.5,-0.3
Wayne Twitchell,1013244,0.1,2.7,3.5
Tim Drew,380,0.5,-0.3,0.0
Edinson Volquez,3990,0.5,3.6,0.2
Bob Miller,1008877,0.7,2.7,1.1
Mel Rojas,1011153,-0.6,0.4,1.4
Lary Sorensen,1012279,1.9,2.4,3.0
Kurt Ainsworth,1431,0.3,0.7,-0.2
Bo McLaughlin,1008608,0.5,-0.4,0.8
Bob Shirley,1011911,1.6,1.9,2.3
Clint Sodowsky,1012262,-0.3,-0.2,0.2
Fred Talbot,1012813,0.6,0.7,0.4
Will Cunnane,274,0.0,-0.1,-0.6
Paul Abbott,1061,-0.1,0.1,-0.4
Rich Thompson,6422,0.0,-0.2,0.1
Al Downing,1003450,4.2,3.0,1.8
Dennis Ribant,1010890,-0.2,1.6,1.0
Dan Warthen,1013644,-0.1,-1.0,-0.6
Jeff Suppan,633,0.5,2.8,1.9
Shawn Hillegas,1005818,0.6,0.4,0.1
Matt Keough,1006858,1.6,2.2,1.6
Jim Lonborg,1007724,2.5,2.8,5.7
Jim Slaton,1012054,2.4,2.1,0.8
Antonio Osuna,249,1.2,0.8,0.3
Andy Benes,1144,3.6,4.7,3.5
Huston Street,8258,1.4,1.1,1.5
Jeff Ballard,1000490,-0.4,1.0,2.1
Dan Larson,1007361,-0.1,0.2,-0.1
Jim Roland,1011156,0.1,-0.2,0.5
Danny Graves,326,-0.2,0.4,0.8
Scott Olsen,4529,0.5,1.2,0.2
Clay Carroll,1001997,0.5,-0.1,1.5
Todd Erdos,1003804,0.1,0.0,-0.1
Bill Gogolewski,1004802,2.3,1.6,0.7
Brian Rose,1011201,0.2,0.4,-0.4
Ed Vande Berg,1013348,1.5,0.8,0.6
Andy Pettitte,840,3.2,4.6,7.2
Burt Hooton,1006005,5.3,2.4,3.9
Jim Ray,1010726,0.7,1.5,-0.3
Chad Bradford,904,0.6,-0.1,0.4
Felix Heredia,1304,0.7,0.3,0.4
John Danks,6329,5.0,2.7,4.5
Jay Hook,1005999,0.8,-0.6,1.4
Scott Linebrink,564,-0.4,0.1,0.2
Tom Hall,1005262,2.1,1.1,0.4
Mike Jeffcoat,1006378,0.2,0.5,-0.4
Rick Reuschel,1010852,4.2,6.1,4.7
Jason Jennings,434,2.1,2.2,1.5
Mike Jackson,732,0.7,0.6,0.1
Travis Miller,742,-0.1,-0.1,0.4
Doug Davis,1244,-0.2,0.5,3.6
Adam Wainwright,2233,-0.1,1.2,3.7
Vida Blue,1001094,2.1,5.5,5.1
Dean Chance,1002130,7.6,3.2,2.9
Carlos Silva,973,0.7,0.1,2.6
Josh Johnson,4567,0.2,2.0,5.6
Bob Ojeda,1009756,0.5,0.2,1.8
Jason Bere,266,1.9,-0.1,-0.1
Lloyd Allen,1000152,-0.5,-0.3,-0.3
Gene Pentz,1010165,-0.5,-0.2,-0.3
Pascual Perez,1010185,0.3,0.9,1.3
Dan Spillner,1012342,1.5,-0.4,-0.5
Mike Strahler,1012591,0.0,-0.2,-0.4
