Name,playerid,WAR31
T.J. Mathews,567,0.3
Mike Fyhrie,1447,0.1
David Purcey,8360,-0.1
Bob Gebhard,1004587,-0.1
Randy Myers,1009427,0.5
John Lackey,1507,3.4
Matt Thornton,1918,1.8
Matt Whiteside,1956,0.0
Paul Foytack,1004287,0.0
Jimmy Key,1006885,2.7
Paul Kilgus,1006899,0.5
Don Mossi,1009250,2.8
Dale Murray,1009383,0.3
Jason Marquis,105,-0.5
Sam Fuld,8254,0.0
Tom Browning,1001566,1.5
Al Holland,1005947,-1.0
Odell Jones,1006579,-0.4
Bob Priddy,1010532,-0.9
Frank Viola,1013435,2.5
Greg Swindell,76,-0.7
Greg Maddux,104,8.0
Rafael Soriano,1100,0.2
David Murphy,6035,0.0
Don Aase,1000003,1.9
Jim Bunning,1001653,2.7
Greg Cadaret,1001810,-0.2
Mark Gardner,1004529,-0.1
Brian Snyder,1012241,-0.3
Dave Bush,4635,0.0
Ken Mackenzie,1007919,-0.3
Sonny Siebert,1011951,2.7
Jarrod Washburn,40,1.9
Tim Redding,573,0.4
LaTroy Hawkins,729,1.4
Joe Roa,969,0.1
Bryan Harvey,1005469,0.1
Mike Hampton,430,1.9
Randy Flores,1446,1.1
Bob Buhl,1001637,0.6
George Frazier,1004308,0.2
Tim Leary,1007438,3.0
Pat Perry,1010215,-0.1
Bob Veale,1013391,2.0
Scott Elarton,426,-1.0
Armando Benitez,865,1.6
Steve Trachsel,898,2.1
Don McMahon,1008629,0.2
Bert Roberge,1011022,0.2
Pat Zachry,1014407,0.3
Dom Zanni,1014417,0.2
Wayne Granger,1004945,-0.6
Joe Hesketh,1005747,0.2
Bob Milacki,1008855,0.0
Matt Young,1014385,3.7
Barry Zito,944,2.0
Mike Timlin,1187,0.6
Jack Taschner,2766,-0.2
Jim Beattie,1000731,0.2
Pedro Borbon,1001195,0.2
Jeff Brantley,1001358,0.2
Jackie Brown,1001522,3.6
Mark Eichhorn,1003712,1.6
Jack McDowell,1008473,0.5
Bill Monbouquette,1009048,0.1
Kevin Ritz,1010998,1.7
Ken Sanders,1011417,0.1
Dave Stieb,1012532,2.7
Chris Brock,130,-0.1
Todd Wellemeyer,1709,-0.8
Heath Bell,2080,2.2
Rick Aguilera,1000086,1.0
Rick Lysander,1007890,0.3
Dick Ruthven,1011330,2.2
Rodrigo Lopez,150,0.9
Scott Downs,773,1.1
Trevor Hoffman,1035,2.2
Jim Acker,1000030,0.3
Gene Garber,1004493,1.1
Bruce Hurst,1006222,5.2
Mark Leiter,1007501,0.7
Tippy Martinez,1008200,0.6
Jason Christiansen,1111,0.1
Javier Lopez,1663,-0.2
Larry Jackson,1006304,4.1
Dave Righetti,1010958,-0.4
Bob Stanley,1012409,0.8
Wes Stock,1012553,-1.4
Chad Durbin,1442,-0.4
Jose Veras,2063,0.3
Tom Bolton,1001155,1.4
Odalis Perez,668,1.4
Brian Sanches,2739,0.2
Dennis Leonard,1007531,0.3
Bob MacDonald,1007900,-0.1
Donn Pall,1009968,0.8
Tom Sturdivant,1012654,2.6
Colby Lewis,1259,2.1
Mark DiFelice,2468,0.1
Jean Machi,3220,0.9
Ray Burris,1001729,-0.5
Guy Hoffman,1005906,-0.5
Mike Moore,1009122,3.4
Tom Morgan,1009184,1.1
Mark Thurmond,1013052,-0.4
Bob Walk,1013507,3.2
Brett Tomko,1056,2.7
Jack Billingham,1000970,3.0
Bill Campbell,1001874,0.2
Dan Osinski,1009875,0.2
Gary Peters,1010228,2.6
Kevin Wickander,1013915,0.1
Carl Willey,1013965,0.3
Jamie Easterly,1003639,1.1
Ramon Martinez,1008193,0.3
Dennis Rasmussen,1010703,0.3
Bob Welch,1013750,3.0
Bob Wickman,413,1.8
Cristhian Martinez,5337,0.0
Jim Abbott,1000012,-0.2
Frank Baumann,1000683,0.0
Mark Clark,1002296,-0.1
Josh Beckett,510,3.8
Arthur Rhodes,1097,2.5
Steve Kline,1164,0.6
Ismael Valdez,1283,0.0
Jason Bulger,3915,-0.1
Rick Camp,1001901,1.2
Mark Langston,1007323,5.4
Tim Stoddard,1012556,0.0
Kiko Calero,1676,1.5
Tom House,1006064,0.6
Gene Nelson,1009501,-0.1
Scott Aldred,1000115,0.7
Fred Gladding,1004751,0.9
Rich Hinton,1005854,0.8
Mark Hendrickson,1574,1.6
Scott Atchison,2642,0.0
Dave Johnson,1006442,-0.7
Darold Knowles,1007058,-0.2
Gregg Olson,1009791,1.1
Joe Price,1010530,0.2
Chris Short,1011931,-0.1
Bobby Tiefenauer,1013057,0.0
Bobby Witt,1014170,3.6
Michael Gonzalez,1794,0.8
Jesse Crain,4817,1.9
Jim Miller,7458,-0.1
Stan Belinda,1000792,0.3
Gene Conley,1002507,3.9
Andy Hawkins,1005514,0.3
Chad Zerbe,1140,0.2
Jim Corsi,1002644,0.0
Dave McNally,1008655,2.9
Bob Owchinko,1009914,0.2
Jon Perlman,1010197,0.1
Jim Todd,1013097,-1.7
Brad Penny,535,1.8
Sterling Hitchcock,824,0.4
David Weathers,902,1.1
Darryl Kile,1163,4.3
Arnold Earley,1003626,1.1
Ken Holtzman,1005989,0.2
Rob Murphy,1009374,0.3
Rick Sutcliffe,1012734,3.4
Todd Stottlemyre,75,2.3
Mike Mussina,837,6.4
Alan Embree,1030,-0.3
Rodney Myers,1511,0.1
Rod Beck,1730,0.9
Steve Mingori,1008978,0.4
Ron Schueler,1011622,-0.3
Elmer Dessens,317,1.6
Shawn Estes,873,0.7
