Name,playerid,WAR30
Kirk Rueter,1128,0.8
Fernando Salas,4971,0.7
Ike Delock,1003179,0.2
Doc Medich,1008714,1.9
Bruce Sutter,1012743,0.5
Albert Williams,1013971,-0.1
Mike Buddie,678,0.2
Danny Darwin,1002996,3.2
Pat Jarvis,1006363,1.3
Damaso Marte,247,0.2
Jake Westbrook,412,0.3
Jose Lima,475,1.0
Ryan Dempster,517,0.2
Dave Burba,1239,1.1
Glenn Abbott,1000010,1.4
Mike Henneman,1005656,1.2
Alejandro Pena,1010140,1.1
Paul Splittorff,1012346,3.7
David Riske,402,0.1
Todd Jones,436,0.3
Orlando Hernandez,823,2.4
Joel Pineiro,1094,4.3
Dave Baldwin,1000477,-0.4
Ken Brett,1001402,0.5
Billy Hoeft,1005893,1.4
Dave Wickersham,1013917,0.9
Kevin Gryboski,91,0.3
Ray King,693,0.8
Pedro Feliciano,1601,0.8
Matt Cain,4732,-0.5
Xavier Hernandez,1005715,0.0
Craig McMurtry,1008651,-0.5
Mike Mohler,1009033,0.4
Tom Phoebus,1010301,-0.3
John Smiley,1012084,4.3
John Tudor,1013215,2.5
Chad Paronto,399,0.4
Matt Herges,780,1.5
Juan Agosto,1000084,-0.6
Richard Dotson,1003424,0.8
Scott Proctor,1911,-0.5
Terry Fox,1004284,-0.3
Stan Spencer,1012329,-0.1
Ramon Ortiz,27,0.8
Bob Grim,1005060,0.5
Gil Heredia,1005686,0.3
Dennis Higgins,1005788,0.5
Tim Lollar,1007715,-0.8
Roger McDowell,1008475,0.1
Chuck Smith,1012114,3.4
A.J. Burnett,512,2.3
Luke Gregerson,4090,0.9
Jeff Manship,6865,0.6
Ted Abernathy,1000020,0.5
John Cerutti,1002106,-0.3
Ron Davis,1003075,-0.8
Jeff Parrett,1010019,0.8
Sammy Stewart,1012528,-0.3
Oscar Zamora,1014416,-1.5
Josh Tomlin,9388,0.5
Jay Ritchie,1010988,0.2
Mike Myers,68,0.0
Manny Corpas,2807,0.1
Tommy Layne,7501,0.2
Jeff Innis,1006266,-0.3
Vicente Romo,1011177,-0.9
Dave Schmidt,1011580,2.2
Mike Torrez,1013134,2.3
John Boozer,1001194,-0.8
Bill Castro,1002077,0.3
Reggie Cleveland,1002347,1.0
Dick Drago,1003475,0.8
Tom Hilgendorf,1005806,0.1
La Marr Hoyt,1006114,3.2
Billy Loes,1007699,-0.9
Rich Monteleone,1009068,-0.5
Wayne Twitchell,1013244,-1.5
Edinson Volquez,3990,0.7
John Johnstone,1006475,0.8
Bob Miller,1008877,1.7
Mel Rojas,1011153,-0.2
Don Rudolph,1011285,3.0
Chad Fox,684,0.9
Diego Segui,1011725,0.3
Bob Shirley,1011911,0.9
Jack Spring,1012362,0.0
Graeme Lloyd,783,-0.1
Chris Michalak,1415,0.1
Al Downing,1003450,3.1
