Name,playerid,WAR29,WAR30,WAR31,WAR32
Jim Rooker,1011183,1.2,2.9,5.4,1.9
Tim Worrell,1139,-0.2,1.0,0.7,0.3
Guillermo Mota,1467,2.1,1.3,0.6,-0.3
Bob Forsch,1004233,2.8,3.5,1.4,2.1
Paul Gibson,1004671,0.8,-0.2,-0.4,-0.1
Dan Spillner,1012342,1.6,2.6,0.3,0.4
Jonathan Broxton,4759,-0.3,0.7,0.2,0.1
Pete Burnside,1001718,1.0,0.8,1.0,-0.8
Ken Schrom,1011620,1.0,0.1,0.8,-0.2
Dave Stewart,1012519,1.5,4.8,5.1,3.2
Derek Lowe,199,4.6,2.4,2.2,2.8
J.A. Happ,7410,1.8,1.0,1.2,3.2
Dennis Lamp,1007284,3.4,1.7,0.0,2.0
Mike Marshall,1008144,1.8,1.6,4.4,0.4
John Montague,1009060,1.2,0.1,0.1,-0.3
Jon Matlack,1008246,1.2,5.2,0.8,1.7
Bob Bruce,1001573,1.6,2.7,4.9,3.4
Joe Hoerner,1005895,0.9,0.4,0.7,0.4
Rick Waits,1013494,1.9,0.4,0.6,0.6
Wilbur Wood,1014248,8.7,6.1,7.4,4.7
Paul Quantrill,669,1.6,0.2,0.9,1.7
Francisco Liriano,3201,3.1,1.6,3.3,0.5
Bob Gibson,1004662,5.1,6.0,4.3,8.6
Neal Heaton,1005568,0.4,0.9,-0.1,-0.3
Mike Munoz,1009328,-0.5,0.7,0.6,0.5
Phil Regan,1010785,1.6,0.7,0.4,1.0
Tanyon Sturtze,1230,0.7,1.4,1.4,-0.3
Jason Vargas,8044,1.5,1.7,2.3,0.4
John Candelaria,1001909,4.5,3.3,1.8,3.0
John Wyatt,1014303,-1.3,-0.2,1.0,0.7
Matt Lindstrom,4604,0.0,0.2,0.8,0.6
Ken Forsch,1004234,0.5,1.5,2.4,1.8
Ted Lilly,833,0.5,2.1,3.8,2.8
Carlos Villanueva,4138,1.2,1.3,0.2,-0.7
Cole Hamels,4972,4.6,4.5,4.5,3.3
Dan Schatzeder,1011527,1.3,0.8,-0.4,0.0
Pete Schourek,1011608,0.8,0.4,0.8,-0.2
