Name,playerid,WAR29,WAR30
Chad Bradford,904,0.1,0.3
Felix Heredia,1304,-0.1,0.0
John Mabry,1381,0.0,0.0
John Tsitouris,1013208,0.0,0.0
Scott Linebrink,564,1.0,-0.5
Ramiro Mendoza,836,1.7,1.3
David Wells,855,0.4,3.0
Kevin Campbell,1001886,0.3,0.1
Mike Jeffcoat,1006378,2.4,1.0
Rick Reuschel,1010852,4.5,3.9
Jason Jennings,434,-0.5,0.1
Mike Jackson,732,1.1,0.3
Doug Davis,1244,3.7,2.8
Vida Blue,1001094,1.1,3.3
Dean Chance,1002130,1.7,1.0
Rich Gale,1004444,0.1,0.0
Dave Geisel,1004603,1.1,0.0
Juan Guzman,1005162,4.6,-0.2
Billy Muffett,1009286,3.2,0.3
Carlos Silva,973,1.4,-0.1
Joe Nathan,1122,3.0,2.6
Jesse Jefferson,1006380,0.7,-0.5
Bob Ojeda,1009756,0.5,5.1
Jim Rooker,1011183,1.2,2.9
Dave Sisler,1012019,-0.8,-0.1
Lou Pote,30,0.2,-0.3
Jason Bere,266,1.7,3.0
Tim Worrell,1139,-0.2,1.0
Guillermo Mota,1467,2.1,1.3
Bob Forsch,1004233,2.8,3.5
Paul Gibson,1004671,0.8,-0.2
Dan Spillner,1012342,1.6,2.6
Pete Burnside,1001718,1.0,0.8
Bud Daley,1002942,1.5,0.0
Don Schwall,1011657,0.5,0.8
Craig Swan,1012754,0.5,0.5
Jay Powell,1271,0.4,0.2
Ken Schrom,1011620,1.0,0.1
Dave Stewart,1012519,1.5,4.8
Derek Lowe,199,4.6,2.4
Dan Miceli,1463,0.8,0.3
Chris Young,3196,1.5,0.1
Dennis Lamp,1007284,3.4,1.7
Mike Marshall,1008144,1.8,1.6
John Montague,1009060,1.2,0.1
Luis Sanchez,1011408,0.9,0.3
Kevin Jarvis,1037,-0.4,0.6
Les Lancaster,1007287,1.6,-1.1
Bill Long,1007727,0.3,-0.7
Jon Matlack,1008246,1.2,5.2
Jose Jimenez,435,1.2,-0.6
Sean Green,3001,0.9,-0.1
