Name,playerid1,1ySeason,W,L,SV,G,GS,IP,Kd9,BBd9,HRd9,BABIP,LOBp,ERA,FIP15,Age,CG,ShO,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,KdBB,AVG,WHIP,FIP33,RAR,WAR,WPA,nWPA,pWPA,RE24,REW,pLI,gmLI,exLI,Pulls,WPAdLI,Clutch,SD,MD,ERAm,FIPm,RA9WAR,BIPWins,LOBWins,FDPWins,KBBp,kwERA,TTOp,playerid58,ServiceTime,FutureWAR,prediction
Juan Agosto,1000084,1983,2,2,7,39,0,41.2,6.26,2.38,0.43,0.317,0.657,4.1,2.85,25,0,0,166,41,20,19,2,11,1,1,2,0,29,2.64,0.266,1.25,2.85,8.6,0.9,0.37,-3.89,4.26,5.99,0.59,1.41,1.66,1.67,26,0.34,-0.08,15,7,99,71,0.3,-0.3,-0.3,-0.6,0.108,3.18,0.253,1000084,1,0.0,1
Juan Agosto,1000084,1984,2,1,7,49,0,55.1,4.23,5.53,0.33,0.292,0.805,3.09,4.3,26,0,0,243,54,20,19,2,34,7,3,1,0,26,0.76,0.262,1.59,4.3,-0.4,0.0,0.59,-4.59,5.18,0.23,0.02,1.19,1.38,1.3,31,0.03,0.46,13,10,76,107,1.1,-0.2,1.3,1.1,-0.033,4.89,0.255,1000084,2,0.7,1
Juan Agosto,1000084,1985,4,3,1,54,0,60.1,5.82,3.43,0.45,0.236,0.659,3.58,3.33,27,0,0,246,45,27,24,3,23,1,3,0,0,39,1.7,0.205,1.13,3.33,7.1,0.7,0.3,-4.04,4.34,6.94,0.72,1.0,1.19,1.18,33,0.63,-0.34,12,7,83,81,0.6,0.5,-0.6,-0.1,0.065,3.76,0.264,1000084,3,-0.6,1
Juan Agosto,1000084,1988,10,2,4,75,0,91.2,3.24,2.95,0.59,0.225,0.805,2.26,3.88,30,0,0,371,74,27,23,6,30,13,0,3,5,33,1.1,0.217,1.13,3.88,-5.1,-0.6,0.97,-6.35,7.31,6.32,0.84,1.19,1.31,1.92,42,0.53,0.29,20,13,68,117,1.7,1.5,0.8,2.3,0.008,4.42,0.186,1000084,4,0.2,1
Juan Agosto,1000084,1989,4,5,1,71,0,83.0,4.99,3.47,0.33,0.281,0.749,2.93,3.35,31,0,0,361,81,32,27,3,32,10,2,4,1,46,1.44,0.248,1.36,3.35,1.9,0.2,-0.69,-4.98,4.28,1.79,0.18,0.85,1.21,1.68,43,-0.01,-0.81,12,13,87,99,0.5,-0.2,0.5,0.3,0.039,4.0,0.224,1000084,5,0.0,1
Juan Agosto,1000084,1990,9,8,4,82,0,92.1,4.87,3.8,0.39,0.286,0.693,4.29,3.78,32,0,0,404,91,46,44,4,39,8,7,1,0,50,1.28,0.254,1.41,3.78,0.0,0.0,-0.45,-8.01,7.56,-4.14,-0.26,1.23,1.36,1.76,53,0.36,-0.73,18,17,117,105,-0.3,0.0,-0.3,-0.3,0.027,4.28,0.23,1000084,6,-0.4,1
Juan Agosto,1000084,1991,5,3,2,72,0,86.0,3.56,4.08,0.42,0.301,0.652,4.81,4.31,33,0,0,377,92,52,46,4,39,4,8,6,0,34,0.87,0.279,1.52,4.31,-3.9,-0.4,-1.31,-6.48,5.16,-23.12,-2.55,0.92,1.12,1.27,50,-1.03,-0.4,16,14,132,116,-1.3,-0.6,-0.3,-0.9,-0.013,4.85,0.204,1000084,7,0.6,1
Rick Aguilera,1000086,1985,10,7,0,21,19,122.1,5.44,2.72,0.59,0.285,0.741,3.24,3.28,23,2,0,507,118,49,44,8,37,2,2,5,2,74,2.0,0.252,1.27,3.28,17.8,2.0,0.9,-7.89,8.79,1.3,0.04,0.98,1.0,1.21,18,0.37,0.55,2,0,92,91,2.1,-0.4,0.5,0.1,0.073,3.66,0.235,1000086,1,1.6,1
Rick Aguilera,1000086,1986,10,7,0,28,20,141.2,6.61,2.29,0.95,0.293,0.707,3.88,3.59,24,2,0,605,145,70,61,15,36,1,7,5,3,104,2.89,0.258,1.28,3.59,14.7,1.6,-0.48,-9.61,9.13,-6.2,-0.76,0.86,0.91,1.05,24,-0.96,0.4,1,2,109,99,0.6,-0.5,-0.5,-1.0,0.112,3.41,0.256,1000086,2,1.6,1
Rick Aguilera,1000086,1987,11,3,0,18,17,115.0,6.03,2.58,0.94,0.304,0.747,3.6,3.83,25,1,0,494,124,53,46,12,33,2,3,9,0,77,2.33,0.271,1.37,3.83,15.2,1.6,0.64,-8.64,9.28,3.92,0.46,1.05,0.9,1.68,17,-0.1,0.71,1,0,93,96,1.6,-0.6,0.6,0.1,0.089,4.02,0.247,1000086,3,3.6,1
