Name,playerid,WAR25,WAR26,WAR27,WAR28
Jeff Parrett,1010019,0.1,-0.5,1.4,0.2
Sammy Stewart,1012528,0.5,-0.1,1.5,1.5
Mike Gardiner,1004516,1.2,1.0,0.0,-0.1
Vicente Romo,1011177,0.4,1.7,0.8,0.4
Dave Schmidt,1011580,2.5,0.6,1.5,1.2
Mike Torrez,1013134,2.2,1.0,2.4,2.4
Sean Marshall,5905,0.7,0.8,1.8,2.6
Jaime Garcia,8137,2.6,0.5,0.4,2.8
Bill Castro,1002077,-0.1,0.3,0.5,1.2
Reggie Cleveland,1002347,4.3,1.5,1.6,2.6
Dick Drago,1003475,3.8,4.7,2.9,2.8
La Marr Hoyt,1006114,1.2,0.4,5.3,5.4
Wayne Twitchell,1013244,3.5,0.4,1.1,1.2
Jason Grimsley,602,0.5,1.4,-0.4,0.9
Edinson Volquez,3990,0.2,0.7,-0.3,1.4
James Russell,4089,-0.2,0.7,0.1,0.3
Kyle Hendricks,12049,3.2,4.1,2.5,3.5
Bob Miller,1008877,1.1,0.4,0.3,-1.0
Mel Rojas,1011153,1.4,0.3,0.9,1.2
Lary Sorensen,1012279,3.0,2.0,2.2,0.9
Diego Segui,1011725,2.0,1.7,1.6,0.8
Bob Shirley,1011911,2.3,-0.1,0.1,0.1
Fred Talbot,1012813,0.4,-1.1,0.7,1.2
Al Downing,1003450,1.8,3.9,0.2,1.5
Jeff Suppan,633,1.9,2.5,1.3,2.7
Esmerling Vasquez,5280,0.1,-0.4,0.0,0.3
Jack Lamabe,1007266,0.6,2.2,1.7,-0.6
Jim Lonborg,1007724,5.7,0.2,1.8,0.7
Jim Slaton,1012054,0.8,4.1,1.5,1.3
Andy Benes,1144,3.5,4.2,3.3,2.4
Huston Street,8258,1.5,0.8,0.4,1.1
Jim Roland,1011156,0.5,0.6,0.3,-0.2
Danny Graves,326,0.8,0.8,1.2,1.3
Tyler Lyons,11334,0.4,0.3,0.1,-0.1
Clay Carroll,1001997,1.5,0.2,1.0,0.6
Ed Vande Berg,1013348,0.6,0.5,-0.6,0.3
Andy Pettitte,840,7.2,3.2,2.6,3.9
Burt Hooton,1006005,3.9,3.1,5.2,3.3
Jim Ray,1010726,-0.3,0.8,-1.1,-0.7
