Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9
Tom Gorzelanny,6244,1.0,3.1,-0.7,0.7,1.8,0.7,0.1,0.5,0.0
Joakim Soria,6941,2.1,1.3,1.6,1.9,0.9,1.5,0.4,0.2,1.8
Jim Bouton,1001241,1.6,3.6,2.4,0.0,0.9,-0.2,0.0,0.6,0.8
Geoff Zahn,1014410,1.6,0.7,2.0,3.4,2.7,3.6,1.1,3.5,2.5
Jon Lieber,287,1.7,1.2,1.4,3.2,2.6,4.5,4.4,4.4,3.1
Don Drysdale,1003516,6.2,3.5,6.5,5.8,6.9,3.4,4.1,4.3,3.0
Bob Patterson,1010055,1.2,0.2,1.1,0.7,-0.3,0.3,0.1,0.7,0.6
Ed Whitson,1013911,0.5,1.2,3.2,0.7,1.1,-0.1,2.6,2.0,0.2
Darren O'Day,3321,0.3,1.3,1.1,1.5,0.7,0.9,1.8,0.1,0.7
Jason Isringhausen,1158,1.5,2.1,0.1,0.9,1.8,2.5,0.9,1.7,0.7
Terry Leach,1007427,0.1,0.5,0.7,1.0,0.3,-0.1,1.5,0.9,0.5
John Smoltz,115,-0.4,4.0,3.6,3.7,5.0,3.9,2.1,4.6,8.4
Dick Tidrow,1013056,2.5,2.5,2.4,0.1,1.5,0.5,2.2,0.7,0.4
Mike Morgan,67,-0.2,0.9,-0.1,2.5,3.1,0.5,2.5,2.1,4.5
Jeremy Affeldt,583,0.9,2.5,1.0,0.3,-0.5,0.4,0.4,0.5,0.1
Jason Frasor,1906,0.8,0.6,0.2,1.0,-0.1,1.4,0.9,0.1,0.2
Bill Gullickson,1005136,3.2,4.8,2.8,3.4,1.8,3.0,3.2,1.1,0.4
Steve Howe,1006107,1.7,0.7,2.0,2.2,0.2,0.5,1.2,-0.2,1.0
Catfish Hunter,1006199,0.3,1.8,5.2,1.4,1.3,3.1,3.2,4.5,0.5
Dennys Reyes,444,0.5,1.2,0.9,0.0,0.5,0.2,1.1,-0.2,0.9
Julian Tavarez,541,-0.1,1.6,0.9,0.0,0.3,-0.3,1.5,2.2,1.0
Al Leiter,883,0.5,0.3,0.9,2.5,3.0,3.4,1.3,4.8,3.3
Doyle Alexander,1000122,0.9,1.1,0.8,0.6,1.2,1.3,1.7,1.4,1.2
Larry McWilliams,1008700,0.7,1.1,0.5,0.9,2.6,4.3,2.9,0.1,0.1
Randy Moffitt,1009027,-0.1,0.7,0.2,-0.4,0.2,1.1,0.3,-0.6,-0.3
Ron Taylor,1012885,-0.1,2.1,-0.2,0.0,0.2,0.9,0.5,0.0,0.4
J.J. Putz,1795,-0.2,-0.1,3.4,2.1,0.6,1.5,1.4,1.4,0.1
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7
Troy Percival,29,2.4,2.3,1.1,1.7,0.6,0.2,2.2,1.6,0.2
Chad Gaudin,1783,0.2,0.3,0.1,1.8,0.7,1.9,-1.0,0.2,1.0
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9
Armando Reynoso,72,2.0,0.3,0.7,1.4,1.0,0.7,1.4,2.1,-0.6
Juan Cruz,273,0.9,0.1,0.7,0.5,-0.2,1.6,0.6,0.5,-0.1
Ben Sheets,710,1.3,3.8,3.8,8.0,3.7,4.0,2.5,4.7,0.8
Wade Davis,7441,1.0,1.1,1.4,1.0,1.5,3.1,2.0,1.4,1.1
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1
Mike Witt,1014174,1.6,3.8,0.7,5.9,4.7,6.7,4.0,4.4,2.7
Roberto Hernandez,3273,0.4,3.3,0.6,0.2,3.0,1.5,0.0,0.1,0.2
Woodie Fryman,1004381,3.0,0.3,2.9,3.0,2.4,3.1,2.7,1.7,0.9
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3,0.6
Erik Bedard,126,2.4,3.4,4.6,5.0,1.0,2.0,2.1,1.4,1.4
Chan Ho Park,1267,1.1,2.1,3.7,1.2,3.9,4.3,1.0,-0.3,1.9
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6
Gary Lavelle,1007389,0.0,0.1,3.0,0.9,1.3,0.9,0.7,1.3,2.1
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0,2.0
Andrew Miller,6785,0.3,1.9,0.7,-0.4,-0.1,0.5,0.3,2.2,2.1
Shane Rawley,1010719,0.9,1.9,1.6,0.9,3.2,3.2,1.6,1.6,1.7
Kevin Appier,3,3.2,4.7,4.8,6.8,4.0,5.3,6.3,5.2,2.7
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4
Steve Barber,1000530,1.7,3.5,2.3,5.4,1.1,2.9,2.6,0.6,0.9
Steve Crawford,1002749,0.3,-0.2,-0.2,1.6,0.4,-0.6,0.4,0.4,0.4
Ed Farmer,1003935,-0.2,-0.9,-0.2,-0.3,1.9,0.1,-0.3,0.4,0.0
Teddy Higuera,1005799,3.0,5.1,6.7,5.9,2.2,3.0,1.1,0.3,-0.5
Jim Palmer,1009973,0.6,2.0,-0.1,3.7,6.2,4.6,4.4,4.6,1.9
Matt Belisle,1837,0.4,0.0,2.4,0.0,2.0,1.2,1.8,1.3,0.4
Denny Neagle,441,-0.1,0.4,1.8,4.2,3.4,5.2,3.1,0.3,2.5
Hideo Nomo,666,5.2,4.4,3.4,1.4,2.1,2.1,3.0,2.9,3.3
Rick Reed,750,0.6,0.4,1.1,3.6,3.0,1.5,2.6,3.3,2.0
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2,0.8
Brett Cecil,2660,0.3,2.5,0.5,0.1,0.9,1.2,1.3,0.4,1.1
Doc Medich,1008714,3.5,3.4,3.7,2.7,1.8,2.4,1.9,3.2,2.6
Bruce Sutter,1012743,1.9,5.2,2.3,4.8,1.9,1.1,0.2,0.5,1.5
Danny Darwin,1002996,1.0,2.5,1.7,1.0,3.2,3.7,1.3,3.2,2.6
Jake Westbrook,412,0.8,0.1,1.0,3.0,2.9,3.6,1.7,0.3,1.9
Jose Lima,475,0.9,0.6,0.4,2.7,4.7,-0.1,-0.2,0.0,1.0
Ryan Dempster,517,-0.3,0.7,3.4,2.2,1.4,0.7,1.8,0.9,0.2
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8,3.0
Glenn Abbott,1000010,1.5,0.3,0.4,1.5,1.2,0.2,2.5,1.4,1.8
Mike Henneman,1005656,1.9,1.3,0.5,1.2,1.8,1.2,1.2,0.0,1.7
Alejandro Pena,1010140,-0.2,4.1,4.7,0.4,0.8,1.7,1.1,1.3,1.0
Paul Splittorff,1012346,3.7,3.9,4.1,1.4,2.0,0.9,3.7,2.9,1.8
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4,0.1
Orlando Hernandez,823,3.4,3.4,2.4,0.1,3.1,1.7,1.3,2.7,1.4
Joel Pineiro,1094,2.0,2.5,3.5,1.8,1.8,0.4,0.4,0.6,4.3
Ken Brett,1001402,0.0,2.0,0.2,0.7,2.6,4.0,0.7,3.3,2.0
Matt Cain,4732,0.7,3.8,4.1,3.7,3.3,4.0,4.5,3.2,1.2
Xavier Hernandez,1005715,-0.8,0.4,1.1,2.1,-0.1,0.9,0.0,-0.1,0.3
John Smiley,1012084,-0.1,3.5,2.2,1.9,3.4,5.0,0.8,2.6,4.3
John Tudor,1013215,1.8,0.2,3.5,1.8,2.5,6.4,2.1,0.9,3.1
Matt Herges,780,1.5,0.5,-0.2,1.6,0.0,0.3,0.4,0.5,0.3
Richard Dotson,1003424,1.5,1.3,2.4,2.9,2.0,0.8,2.1,2.4,-0.4
Ramon Ortiz,27,0.6,0.7,2.3,1.6,0.8,0.8,0.3,0.2,0.1
Gil Heredia,1005686,0.2,-0.2,1.0,1.3,2.4,0.3,1.0,4.2,2.6
Roger McDowell,1008475,0.9,1.4,0.0,0.8,0.4,0.8,0.1,0.1,0.1
A.J. Burnett,512,0.6,0.9,1.4,4.8,2.9,5.0,2.9,2.3,5.0
Tommy Hunter,1157,1.7,1.0,0.5,-0.4,0.7,0.7,0.3,0.6,1.2
Luke Gregerson,4090,2.1,1.3,0.6,0.6,1.2,0.9,1.1,1.1,-0.1
Ted Abernathy,1000020,0.5,0.0,1.2,-0.6,1.8,-0.7,0.0,0.3,0.1
Ron Davis,1003075,1.3,1.1,1.6,0.0,2.1,0.0,0.7,-0.8,-0.3
Mike Myers,68,1.1,-0.5,0.0,0.0,0.9,0.6,0.3,-0.3,-0.1
Dave Schmidt,1011580,0.3,2.5,0.6,1.5,1.2,0.9,2.2,0.7,-0.2
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3,2.3
Jaime Garcia,8137,2.4,3.2,2.6,0.5,0.4,2.8,1.1,1.9,-0.1
Reggie Cleveland,1002347,3.5,3.5,4.3,1.5,1.6,2.6,2.7,1.0,-0.7
