Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8
Luis Tiant,1013054,2.0,2.8,2.5,3.7,7.4,0.5,0.5,0.9
Brad Lidge,563,1.5,3.7,2.5,1.1,0.8,2.2,-0.8,0.4
Bud Black,1001007,0.3,1.1,4.3,3.6,0.1,1.1,0.6,3.4
Steve Farr,1003953,1.0,0.6,0.9,0.8,1.5,0.8,1.6,1.4
Ron Perranoski,1010201,0.9,1.7,0.0,0.5,0.4,0.2,0.3,0.5
J.C. Romero,754,0.6,0.3,1.6,-0.5,1.0,-0.5,0.0,0.0
Blue Moon Odom,1009726,1.3,-0.1,2.7,2.9,0.2,0.1,0.9,0.8
Marty Pattin,1010074,0.1,0.2,4.3,3.4,4.6,1.8,1.0,2.3
Walt Terrell,1012924,1.3,1.7,4.8,0.6,3.2,1.5,1.7,0.0
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7,1.4
Joe Blanton,4849,2.2,3.2,5.3,1.8,2.1,1.8,0.6,2.5
Ray Sadecki,1011360,1.4,1.8,0.7,1.2,3.7,1.2,-0.3,4.0
Lee Smith,1012175,0.9,2.7,2.4,2.1,2.7,1.8,2.9,1.6
Eric Gagne,650,0.6,0.0,1.3,3.6,4.7,3.4,0.9,-0.9
Glendon Rusch,707,1.5,1.5,4.7,3.2,1.6,2.1,2.8,2.3
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7.0,6.8,5.3,6.6
Oliver Perez,1514,0.6,0.4,4.5,-0.8,0.1,2.7,1.6,-0.6
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5,6.2,6.7,4.9
Wally Bunker,1001652,2.6,1.7,1.2,0.5,1.3,2.3,0.4,-0.1
Orel Hershiser,1005741,4.0,5.4,3.6,5.6,4.0,5.6,2.5,2.3
Anibal Sanchez,3284,1.9,0.0,0.3,0.7,4.2,3.7,3.5,5.8
Jeremy Hellickson,4371,0.5,2.0,0.8,1.3,0.2,1.0,3.3,0.2
Chris Sale,10603,1.1,4.8,4.9,5.1,5.6,5.4,7.5,6.2
Tim Burke,1001692,0.6,0.7,2.3,-0.3,0.8,0.6,0.4,-0.2
Rich Gossage,1004894,0.5,-0.8,0.7,4.0,2.0,4.2,2.4,1.0
Dave Smith,1012117,1.9,1.1,-0.6,0.2,0.3,1.3,0.2,2.8
Javier Vazquez,801,0.5,2.2,5.2,6.1,4.6,6.0,2.0,3.5
C.J. Wilson,3580,0.3,0.0,0.7,-0.5,1.8,4.3,5.2,2.6
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2
Bruce Ruffin,1011294,2.7,2.5,0.4,0.7,0.9,2.2,-0.3,1.7
Tom Glavine,90,0.0,2.0,2.0,2.9,5.4,4.6,3.3,3.6
Mark Redman,491,2.2,0.5,4.0,4.2,1.4,2.1,1.2,0.3
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1
Scott Schoeneweis,33,0.3,1.7,2.0,0.1,1.0,0.9,0.9,0.2
Larry Gura,1005150,-0.2,0.7,1.1,1.8,0.0,1.1,3.1,1.3
Antonio Alfonseca,260,-0.8,0.9,0.7,0.5,0.6,0.3,0.4,0.0
Jim Mecir,930,0.0,0.0,1.3,1.9,1.2,0.7,0.1,0.6
Kevin Correia,1767,0.0,-0.4,1.0,1.1,0.4,3.1,0.1,0.3
Jim Brewer,1001406,0.3,-0.5,1.1,0.2,0.8,0.2,0.8,0.7
Erik Hanson,1005333,0.9,2.4,6.6,3.5,3.1,4.9,3.1,4.1
Larry Sherry,1011883,0.2,0.8,-0.2,-0.3,0.1,0.1,0.0,0.1
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4
Jhoulys Chacin,2608,2.7,2.3,0.4,4.2,0.3,1.7,2.2,2.4
Burke Badenhop,9736,0.1,0.9,0.3,0.8,0.2,0.2,0.7,0.3
Cecil Upshaw,1013292,0.2,0.8,0.8,0.8,-0.1,0.1,0.5,-0.4
Jason Grilli,521,-0.2,0.0,0.6,1.0,0.4,0.5,1.3,1.5
Jason Hammel,4538,0.3,0.3,-0.2,3.5,3.2,1.1,2.6,0.6
Randy Myers,1009427,1.5,1.7,1.6,2.0,1.3,0.3,1.6,0.5
John Lackey,1507,1.9,1.8,3.1,5.3,5.3,5.0,1.4,3.2
Matt Thornton,1918,0.2,-0.9,0.9,0.9,1.8,2.3,2.2,1.4
Homer Bailey,8362,0.5,-0.4,1.1,1.6,1.3,2.4,3.9,1.7
Jimmy Key,1006885,-0.4,2.8,3.4,5.6,1.6,4.6,2.4,5.3
Dale Murray,1009383,1.0,1.6,1.1,-0.9,0.3,-0.5,2.6,0.9
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7
Ryan Vogelsong,1011,-0.4,0.2,0.0,0.1,1.7,1.9,-0.7,0.9
Jerry Blevins,7841,0.6,0.1,0.1,0.3,0.8,0.6,0.9,-0.1
Andrew Cashner,8782,-0.6,0.4,2.6,1.8,1.9,0.4,2.4,0.6
Tom Browning,1001566,3.0,3.2,1.5,0.6,1.8,2.7,1.5,0.8
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6,2.0
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7.0,7.5
Rafael Soriano,1100,0.4,1.6,1.1,0.6,1.7,1.9,0.2,1.0
Don Aase,1000003,2.2,1.6,1.8,1.9,0.7,0.6,0.8,1.5
Jim Bunning,1001653,6.9,6.3,4.6,2.7,5.6,7.3,6.8,6.8
Greg Cadaret,1001810,-0.3,1.2,1.2,0.8,1.6,-0.4,-0.2,-0.1
Mark Gardner,1004529,2.3,0.8,1.9,-0.1,0.4,0.4,1.4,1.4
Dave Bush,4635,1.9,1.2,3.8,2.2,1.3,0.3,-0.4,0.0
Sonny Siebert,1011951,2.6,5.4,3.4,2.3,2.7,2.1,3.3,4.4
Jarrod Washburn,40,0.6,1.0,0.3,2.5,4.2,1.6,1.7,2.0
Tim Redding,573,0.2,0.7,2.7,0.2,-0.5,0.2,1.2,0.4
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1,1.6,2.6,1.4
Brian Meadows,998,1.7,0.3,0.7,-0.1,0.7,0.8,0.8,0.3
Clayton Kershaw,2036,1.3,4.1,4.5,7.4,6.2,7.3,8.0,8.7
Mike Hampton,430,-0.1,2.3,2.4,3.1,2.3,4.9,4.6,1.9
Trevor Cahill,6249,0.4,2.0,2.1,2.4,0.7,0.6,0.1,-0.1
Tim Leary,1007438,0.5,0.5,2.5,0.1,4.7,2.3,3.0,0.0
Bob Veale,1013391,1.0,1.4,6.5,8.0,5.3,2.0,2.6,6.0
Scott Elarton,426,0.7,3.0,1.7,-0.9,-0.4,0.2,0.8,-1.1
Armando Benitez,865,-0.3,1.7,0.4,3.1,1.5,0.3,1.0,0.9
Steve Trachsel,898,1.5,0.7,1.6,1.7,1.8,2.5,2.4,2.0
Rich Harden,1772,1.4,4.1,3.6,0.7,4.5,1.9,-0.6,0.4
David Hernandez,4259,-0.6,0.8,1.1,2.0,-0.3,-0.1,0.3,1.0
Ian Kennedy,6986,-0.2,1.6,4.4,2.3,0.4,2.8,0.4,1.9
Don McMahon,1008629,-0.7,0.2,0.9,-0.5,0.8,0.1,0.1,0.3
Pat Zachry,1014407,3.6,1.2,1.4,0.2,0.9,0.6,0.7,0.3
Wayne Granger,1004945,0.2,0.8,0.4,0.1,0.0,-0.1,-0.6,-0.4
Joe Hesketh,1005747,0.8,3.3,0.7,1.2,-0.1,0.2,1.3,1.9
Matt Young,1014385,3.3,1.3,3.5,1.7,1.1,-0.1,3.7,1.4
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6
Mike Timlin,1187,1.5,0.7,0.2,0.2,1.3,1.4,0.6,1.8
Ryan Madson,1852,1.3,0.8,0.9,0.4,1.2,1.2,1.2,1.8
Jim Beattie,1000731,1.4,0.7,1.0,1.7,4.2,4.5,4.1,0.6
Pedro Borbon,1001195,-0.2,0.7,1.2,0.6,0.8,1.0,1.3,0.2
Jeff Brantley,1001358,-0.1,1.4,-0.2,0.3,-0.6,1.0,0.2,1.2
Mark Eichhorn,1003712,0.4,4.9,0.8,0.0,0.5,2.1,1.9,1.6
Jack McDowell,1008473,1.4,2.9,5.2,4.8,5.2,4.9,3.5,3.5
Bill Monbouquette,1009048,4.6,4.1,5.2,5.4,3.0,2.8,0.7,2.1
Dave Stieb,1012532,1.6,4.3,2.9,4.8,5.1,5.6,4.5,0.8
Heath Bell,2080,0.7,0.1,2.5,1.2,2.2,2.3,0.9,0.4
Rick Aguilera,1000086,2.0,1.6,1.6,3.6,1.3,1.5,0.8,1.0
Dick Ruthven,1011330,1.4,3.4,0.4,3.9,2.1,3.4,1.6,3.2
Rodrigo Lopez,150,2.9,1.3,2.7,2.0,1.7,0.9,0.4,-0.2
Scott Downs,773,1.0,0.4,1.0,0.5,1.1,1.0,0.8,1.1
Trevor Hoffman,1035,0.4,1.6,0.1,2.9,2.3,3.1,2.2,2.6
Wilson Alvarez,1193,-0.2,-0.6,2.7,2.8,1.5,4.2,3.8,1.3
Jim Acker,1000030,0.3,0.6,-0.1,1.5,0.2,-0.3,1.9,0.3
Gene Garber,1004493,1.0,-0.1,0.4,1.8,2.3,1.2,1.1,0.9
Bruce Hurst,1006222,0.0,0.4,2.6,1.8,3.3,4.2,3.5,3.8
Mark Leiter,1007501,1.3,1.5,0.3,0.7,2.5,0.6,1.8,0.3
Tippy Martinez,1008200,-0.4,0.4,0.3,0.5,2.2,1.6,0.6,1.8
Jason Christiansen,1111,0.1,-0.2,0.4,1.7,0.5,0.9,0.1,-0.6
Javier Lopez,1663,0.7,0.2,0.1,0.1,0.5,0.4,0.5,0.7
Scott Feldman,6283,0.3,-0.4,0.6,2.9,1.2,0.2,2.3,2.2
Larry Dierker,1003288,1.8,2.4,2.1,1.9,7.3,3.6,3.3,3.3
Larry Jackson,1006304,6.1,4.0,4.1,6.6,5.9,2.9,2.3,3.9
Dave Righetti,1010958,3.5,2.9,5.4,2.6,2.7,3.0,1.2,1.4
Bob Stanley,1012409,1.7,2.3,4.0,2.5,0.3,2.0,2.3,1.1
Chad Durbin,1442,0.0,1.4,-0.4,-0.2,1.0,-0.4,0.2,-0.2
Odalis Perez,668,0.9,1.7,4.9,2.2,2.9,1.6,1.3,1.1
Dennis Leonard,1007531,2.4,3.8,7.9,4.7,2.5,3.5,3.7,0.3
Colby Lewis,1259,-0.1,0.1,-0.3,4.9,2.1,2.2,1.2,2.6
Ray Burris,1001729,1.4,0.3,2.4,2.8,2.1,1.8,0.1,0.6
Roy Face,1003891,0.7,0.7,0.8,0.0,-0.3,0.3,0.2,0.4
Mike Moore,1009122,0.4,2.4,4.2,5.9,3.7,3.1,4.6,4.4
Mark Thurmond,1013052,1.6,1.5,1.6,0.4,0.3,-0.4,0.7,-0.3
Bob Walk,1013507,2.0,-0.3,0.8,1.3,0.2,1.1,3.2,1.5
Brett Tomko,1056,1.5,3.6,1.4,0.5,-0.5,1.3,1.0,2.7
Jack Billingham,1000970,0.3,-0.2,3.7,4.1,2.5,3.7,3.0,0.5
Bill Campbell,1001874,0.6,2.2,0.7,1.7,1.7,1.8,0.2,0.2
Gary Peters,1010228,6.5,4.3,0.7,4.2,4.6,2.6,3.2,4.1
Joaquin Benoit,1437,0.7,-0.1,1.0,1.5,1.2,1.8,-0.2,1.7
Jamie Easterly,1003639,0.4,0.4,-0.4,0.5,-0.5,0.3,1.1,0.3
Ramon Martinez,1008193,0.4,0.8,4.9,2.9,1.1,1.9,1.9,2.2
Dennis Rasmussen,1010703,1.7,1.2,1.8,1.1,2.4,0.8,0.3,1.7
Bob Welch,1013750,2.4,1.0,2.9,1.9,3.3,3.7,2.8,2.1
Bob Wickman,413,0.7,0.9,1.6,0.8,0.6,1.1,1.0,0.8
Jim Abbott,1000012,2.5,2.8,5.5,4.4,2.3,1.3,3.5,0.0
Norm Charlton,1002160,0.6,1.4,2.4,1.9,1.5,0.8,1.5,1.2
Mark Clark,1002296,0.2,0.5,1.6,1.8,3.7,2.2,4.1,-0.1
Josh Beckett,510,1.9,4.0,3.3,4.2,1.0,5.7,4.3,4.3
Arthur Rhodes,1097,0.1,2.0,-0.4,0.5,0.2,1.0,1.9,1.0
Steve Kline,1164,-0.6,0.8,0.6,1.1,1.2,0.7,-0.1,0.6
Ismael Valdez,1283,3.8,4.4,3.9,2.2,2.2,0.4,2.0,2.4
J.P. Howell,8245,0.2,0.7,0.4,1.5,0.7,-0.5,-0.4,0.9
Rick Camp,1001901,0.3,0.0,1.1,1.4,0.8,0.8,1.2,-0.3
Mark Langston,1007323,4.4,-0.7,4.1,6.4,4.0,4.8,4.6,3.0
Tim Stoddard,1012556,1.3,1.8,-0.5,0.5,-0.6,0.0,0.1,-0.4
Gene Nelson,1009501,-0.3,0.9,-0.4,0.6,0.0,1.4,1.8,0.5
Fred Gladding,1004751,0.5,0.0,0.5,0.9,0.5,0.7,0.0,0.4
Mark Hendrickson,1574,0.8,1.7,2.2,1.6,2.1,1.6,1.0,0.3
Carlos Marmol,2790,-0.4,1.7,1.4,0.8,2.7,0.6,0.1,-0.6
Darold Knowles,1007058,0.9,0.6,0.9,0.2,0.8,0.6,0.0,-0.2
Gregg Olson,1009791,2.0,1.8,2.2,1.6,1.5,0.0,-0.2,0.3
Joe Price,1010530,0.4,0.8,0.4,2.0,1.8,0.3,-0.1,0.3
Chris Short,1011931,0.4,0.7,1.1,3.4,5.6,6.5,3.3,3.4
Bobby Witt,1014170,0.8,1.7,2.4,2.5,5.0,0.9,1.3,3.2
Michael Gonzalez,1794,1.6,0.9,1.3,0.1,0.8,0.2,0.6,-0.6
Jesse Crain,4817,-0.1,0.9,0.5,0.2,0.7,0.8,0.8,1.9
Stan Belinda,1000792,0.6,-0.3,-0.3,1.0,0.0,1.2,1.2,0.3
Andy Hawkins,1005514,0.2,1.1,0.2,2.0,1.3,0.3,1.5,1.1
Mark Melancon,4264,0.8,-0.2,2.5,1.9,1.4,1.8,0.4,0.3
Jim Corsi,1002644,0.3,0.3,0.2,0.3,0.5,1.2,0.6,-0.5
Dave McNally,1008655,1.2,1.4,2.3,3.0,0.7,4.5,4.7,4.9
Brad Penny,535,1.2,4.6,1.0,3.1,3.0,3.5,3.6,4.4
Sterling Hitchcock,824,0.4,0.8,2.0,2.7,0.7,1.5,3.0,0.4
David Weathers,902,0.9,1.0,0.4,0.4,1.9,0.1,0.5,1.1
Marco Estrada,1118,0.6,2.9,1.4,-0.3,1.9,2.8,2.5,0.3
Darryl Kile,1163,0.0,0.8,2.4,0.8,1.7,3.7,4.0,3.2
Ken Holtzman,1005989,3.0,0.2,2.3,5.1,5.8,3.6,2.7,5.0
Rob Murphy,1009374,0.8,2.1,1.2,1.9,-0.6,0.3,0.5,-0.1
Rick Sutcliffe,1012734,2.7,-0.4,-0.3,3.5,3.0,6.0,2.4,1.5
Todd Stottlemyre,75,-0.2,1.2,2.7,2.6,1.4,3.0,2.0,4.1
Mike Mussina,837,1.7,5.3,2.8,3.4,5.1,5.3,5.4,5.1
Alan Embree,1030,-0.6,0.9,0.0,0.5,0.6,-0.3,1.6,0.8
Rod Beck,1730,0.4,2.7,1.4,-0.3,0.0,0.4,1.1,1.1
David Robertson,8241,0.2,0.7,0.8,2.3,1.5,1.3,1.4,1.7
Steve Mingori,1008978,0.8,-0.1,-0.1,0.7,0.4,0.8,0.3,0.3
Elmer Dessens,317,0.1,3.0,2.2,1.6,2.2,0.8,0.5,0.6
Shawn Estes,873,1.3,3.6,1.8,2.4,3.0,2.1,1.5,0.6
Tim Lincecum,5705,3.0,7.2,7.5,4.3,3.5,0.9,1.4,0.0
Tony Sipp,8280,0.3,-0.6,0.2,0.0,-0.3,0.8,0.9,-0.8
Joe Gibbon,1004658,1.3,4.2,0.5,2.5,1.7,1.3,1.5,1.1
Curt Young,1014368,1.1,-1.2,2.8,1.5,0.0,0.4,-0.2,-0.7
Charles Nagy,397,0.0,3.2,7.0,0.6,3.5,3.2,5.4,2.9
John Thomson,453,3.3,2.6,0.2,1.4,2.3,3.9,3.2,2.0
Danny Frisella,1004365,0.6,0.4,0.6,1.3,0.0,-0.2,-0.2,-0.2
Doug Henry,1005668,0.8,0.6,-0.2,-0.7,0.5,0.1,0.5,-0.4
Randy Jones,1006582,1.7,2.5,4.3,4.6,1.5,4.1,3.6,1.2
Jake Arrieta,4153,0.8,-0.1,1.6,0.2,5.3,7.0,3.4,2.5
Tom Candiotti,1001911,0.6,0.2,4.3,1.3,4.5,4.4,2.3,5.8
Dick Ellsworth,1003754,2.3,2.2,2.2,6.6,1.7,3.0,4.0,1.1
Mike Remlinger,111,-0.2,-0.4,2.2,1.1,1.0,1.0,1.5,1.5
Jesse Orosco,667,-0.3,1.3,2.2,1.0,0.9,0.4,1.6,-0.4
Francisco Rodriguez,1642,0.6,3.7,1.5,2.4,1.9,1.5,0.7,1.5
Dock Ellis,1003747,0.7,4.2,3.4,3.7,3.9,4.4,3.0,1.9
Alex Fernandez,1003993,1.4,2.7,1.8,4.1,2.4,4.5,4.7,3.3
Mike Flanagan,1004133,0.6,4.4,4.5,6.0,2.9,1.5,2.7,1.8
Rick Honeycutt,1005992,1.5,2.2,2.5,1.5,0.9,2.8,1.9,1.5
Mitch Williams,1014025,-0.5,0.6,0.1,-0.5,0.0,0.0,-0.7,0.3
Tim Belcher,1000789,0.8,4.1,3.3,1.5,4.1,3.1,3.0,1.2
Steve Carlton,1001964,0.9,4.4,4.0,4.9,3.6,3.1,11.1,4.5
Jim Kaat,1006660,-0.3,3.8,5.4,1.9,4.7,4.3,6.4,6.4
Eric Plunk,1010400,-0.5,1.1,0.8,0.0,0.2,-0.1,0.3,1.5
Bill Singer,1012007,4.7,4.2,6.1,2.0,2.0,2.3,6.2,2.6
Ray Washburn,1013652,1.9,1.5,0.3,1.3,2.3,2.3,3.7,1.7
Shawn Chacon,424,1.3,-0.4,2.2,-1.1,1.5,-1.1,0.5,-0.1
Braden Looper,526,0.5,0.1,0.1,0.5,1.2,1.7,-0.6,1.1
Juan Nicasio,7731,1.3,0.9,2.1,-0.3,0.8,1.4,1.5,0.8
Joaquin Andujar,1000266,0.9,1.2,0.6,1.3,1.1,0.6,5.5,1.6
Andy Messersmith,1008799,1.3,5.0,2.3,3.5,3.5,3.2,5.6,5.9
Dwight Gooden,1004852,8.3,8.9,4.8,4.5,6.0,1.8,6.8,4.0
Matt Clement,271,2.1,1.6,1.8,4.7,2.9,3.0,2.6,0.2
Kyle Farnsworth,278,-0.4,-0.3,2.0,-0.4,1.2,0.3,1.5,1.1
Ricardo Rincon,401,1.1,0.7,0.0,1.0,1.4,0.3,0.9,-0.5
Doug Brocail,551,1.0,-0.2,-0.2,0.4,1.7,1.8,0.8,0.8
Randy Wolf,976,0.8,2.9,3.4,3.9,2.5,1.7,0.7,-0.1
Derek Holland,4141,0.6,0.9,3.2,1.5,4.5,1.3,-0.1,1.1
Gio Gonzalez,7448,-0.7,1.1,3.2,3.3,5.0,3.2,3.2,3.6
Stu Miller,1008935,0.6,2.2,0.7,1.6,1.1,2.3,1.2,0.3
Mark Davis,1003067,-0.3,0.5,0.4,1.5,1.6,0.8,2.8,2.2
Joe Horlen,1006025,1.4,0.7,4.5,4.0,3.1,3.5,1.6,3.5
Paul Byrd,594,-0.3,-0.1,0.8,0.5,-0.1,1.4,3.1,1.7
Mike DeJean,682,0.7,0.7,-0.7,-0.1,0.8,0.4,-0.4,0.7
Jon Lester,4930,1.0,0.2,4.2,5.4,5.0,2.6,2.4,3.3
Stan Bahnsen,1000414,4.4,1.0,2.3,2.2,3.2,3.3,1.1,1.7
Denny Lemaster,1007512,0.8,1.4,1.9,1.8,2.0,2.3,2.7,3.8
Steve Trout,1013197,2.1,3.2,1.8,1.5,2.4,3.4,1.3,2.0
Danys Baez,367,0.7,2.2,0.8,0.5,0.4,0.9,-0.9,0.1
Mike Williams,1014,0.2,0.1,0.5,0.4,1.6,0.3,0.4,0.0
Max Scherzer,3137,1.1,2.7,4.0,2.3,4.5,5.9,5.6,6.4
Doug Bird,1000976,1.1,1.5,1.6,2.8,1.4,0.8,0.0,0.4
Keith Foulke,231,0.0,0.4,2.9,2.5,2.6,1.3,1.8,1.6
Mariano Rivera,844,0.3,4.3,2.0,1.2,2.1,1.9,3.2,1.4
Jonathan Papelbon,5975,0.3,3.1,2.1,2.8,1.9,1.0,3.0,1.4
Mudcat Grant,1004952,-0.7,1.6,0.0,1.6,1.7,3.0,3.6,1.1
Cecilio Guante,1005113,0.9,0.1,1.5,-0.2,0.1,0.1,0.2,-0.8
Rick Langford,1007319,3.5,2.1,3.1,3.4,2.5,1.7,0.0,-0.4
Vern Law,1007410,4.2,0.0,1.3,0.1,2.3,3.4,2.3,1.4
Fred Norman,1009632,-0.9,-0.5,1.1,2.2,1.6,3.2,0.6,2.7
Bill Swift,1012788,1.9,1.5,1.8,1.5,2.6,1.6,2.7,4.5
Mark Buehrle,225,0.6,4.0,4.3,4.3,4.5,5.9,1.7,3.3
Jose Rijo,349,0.6,1.3,1.7,0.8,3.8,2.1,4.5,6.1
Scott Sullivan,357,0.8,0.0,0.7,0.9,1.0,-0.2,0.5,0.1
Jeremy Bonderman,1667,1.3,2.4,3.2,5.6,2.8,0.3,0.9,-0.2
Joe Smith,3281,0.2,0.3,0.2,-0.2,1.3,0.8,0.5,0.9
Jim Bibby,1000945,0.3,1.9,1.9,2.6,2.5,3.8,1.0,2.5
Lew Krausse,1007146,0.4,2.7,0.4,1.0,-0.3,1.4,0.4,-0.4
Mike Maddux,1007951,0.7,0.7,0.4,1.4,1.5,1.1,-0.1,2.1
Juan Berenguer,1000865,0.6,-0.3,1.5,2.2,0.9,0.8,2.3,0.8
Scott Garrelts,1004546,-0.1,-0.8,2.1,1.5,1.8,1.3,3.8,1.1
Dick Hall,1005241,1.9,2.7,2.2,1.1,0.7,1.6,0.3,0.9
Johan Santana,755,0.0,0.0,3.4,3.7,6.8,7.1,6.7,4.0
Trever Miller,1672,0.1,-0.4,0.0,0.9,-0.3,0.6,0.1,0.6
Johnny Cueto,6893,1.0,1.4,2.5,3.0,4.3,0.7,4.5,4.1
Jim Deshaies,1003228,1.4,0.8,1.0,2.7,0.8,0.1,1.1,1.0
Ross Grimsley,1005071,1.0,1.4,1.6,4.2,0.9,1.1,0.7,2.7
Adam Eaton,1029,1.6,1.0,0.1,2.5,2.4,1.7,0.4,-0.1
Steve Blass,1001058,0.6,1.8,0.4,2.6,1.6,3.0,3.6,2.2
Jerry Johnson,1006464,0.3,0.3,0.1,0.3,0.3,-0.2,0.2,-0.3
Tommie Sisk,1012018,0.7,-0.2,1.0,0.6,2.3,0.4,0.4,-0.2
Tom Gordon,282,2.4,2.5,1.6,1.0,2.5,2.2,3.5,2.8
R.A. Dickey,1245,1.3,0.6,-0.1,-0.4,2.8,2.6,4.6,1.9
Joel Peralta,2332,0.0,0.6,0.8,-0.8,0.7,1.0,0.9,0.4
Rudy Seanez,1279,-0.3,0.9,1.0,0.2,0.0,0.9,1.5,-0.2
Fergie Jenkins,1006388,1.8,4.5,6.3,8.2,9.5,9.6,4.8,4.2
Don Sutton,1012745,4.7,3.0,4.0,3.9,1.9,7.1,6.8,6.0
Cory Lidle,926,0.7,1.0,2.6,3.7,2.3,2.7,3.6,1.2
Jose Mesa,961,-0.1,0.5,0.8,0.9,2.9,1.7,2.1,1.4
Matt Garza,3340,0.6,1.1,3.3,2.8,2.1,4.7,0.9,2.1
Bobby Bolin,1001146,-0.4,0.6,1.4,1.4,1.6,1.9,-0.6,2.6
Steve Hamilton,1005277,1.7,1.1,0.8,1.3,0.7,0.0,1.1,-0.1
Atlee Hammaker,1005281,0.3,2.6,4.6,0.7,2.2,1.4,0.8,0.4
Don Robinson,1011061,3.4,2.5,2.1,-0.5,1.0,0.0,2.0,0.8
CC Sabathia,404,2.7,3.6,3.5,2.8,3.6,5.0,6.4,7.4
Joe Sambito,1011392,0.3,1.2,1.8,1.4,2.2,0.2,-0.2,0.3
Eddie Watt,1013684,2.0,1.3,1.2,0.8,0.1,0.8,-0.1,-0.1
Fernando Rodney,494,0.4,0.5,0.6,0.3,0.3,0.2,-0.4,2.2
Hipolito Pichardo,1472,1.5,2.3,0.6,0.6,0.9,-0.2,1.3,1.2
Jose Valverde,1726,1.1,1.6,0.9,1.4,1.1,0.8,0.6,0.9
Gary Lucas,1007805,2.1,1.1,1.4,0.2,0.4,-0.1,1.5,0.3
Ron Darling,1002989,0.6,1.0,2.2,3.5,2.0,2.6,2.7,0.2
Jeff Montgomery,1009071,-0.1,2.7,1.6,1.6,1.4,2.6,1.0,0.8
Dan Wheeler,120,0.2,0.2,0.3,1.1,1.7,0.8,0.3,0.1
Chris Haney,192,0.6,0.2,1.0,1.0,3.9,-0.4,0.5,0.0
Terry Mulholland,665,0.2,0.6,1.4,2.4,4.6,3.8,2.9,0.5
Dan Haren,1757,0.7,0.5,3.7,3.8,4.7,6.1,5.3,3.6
Marc Rzepczynski,6612,0.9,0.4,0.7,-0.6,0.2,0.6,0.3,0.5
Larry Andersen,1000236,1.1,-0.7,0.8,0.4,0.8,1.3,1.4,2.3
Tony Cloninger,1002359,-0.4,1.1,0.1,2.7,3.8,1.5,-0.2,0.4
Turk Farrell,1003950,1.6,0.0,5.3,4.3,1.2,3.3,1.0,1.3
Tommy John,1006515,1.1,3.0,3.8,2.6,2.9,3.8,4.4,4.5
Milt Pappas,1009989,3.0,1.4,1.2,2.1,4.8,3.0,3.7,3.8
Brad Radke,748,0.8,2.8,4.9,4.2,3.7,4.2,4.5,2.1
Esteban Loaiza,1310,1.2,-0.2,2.9,1.0,2.5,2.9,2.1,2.3
Luis Ayala,1650,0.6,1.8,0.3,0.2,0.1,-0.1,-0.1,0.9
Cal Eldred,1653,2.6,2.9,1.3,1.3,0.8,1.1,-0.4,1.9
John Wasdin,1768,0.6,0.5,0.3,0.1,0.6,0.4,-0.6,0.8
Phil Hughes,7450,1.0,0.4,2.3,3.1,0.5,1.9,1.0,6.4
Dave Giusti,1004748,0.4,1.0,2.0,2.7,3.8,1.2,1.3,0.4
Greg Harris,1005415,0.4,0.2,0.3,2.0,1.4,1.7,-0.1,-0.1
Jerry Reuss,1010853,2.0,1.4,2.8,4.0,2.5,4.6,2.9,3.9
Pedro Astacio,862,1.8,2.6,1.5,1.0,2.6,3.0,1.6,4.2
Jeff Nelson,1092,-0.5,0.4,0.4,2.2,1.3,1.0,0.4,0.3
Mike Bielecki,1000951,-0.3,1.0,0.5,0.4,3.2,1.8,1.0,2.0
Shawn Boskie,1001213,1.3,0.3,-0.8,0.0,0.2,1.3,0.7,0.0
Casey Fossum,188,0.2,1.8,1.2,0.1,1.5,0.4,-0.3,0.2
Jeff Weaver,503,1.6,3.1,4.0,4.1,2.2,4.3,2.4,0.3
Chris Tillman,5279,-0.2,-0.3,1.1,1.3,2.0,2.3,2.0,2.5
George Brunet,1001590,0.1,1.1,-0.3,0.6,3.8,0.9,2.6,1.7
Eric Milton,743,1.2,3.6,2.9,2.1,3.2,1.4,0.5,1.0
Russ Ortiz,1124,0.4,1.7,1.1,4.4,2.9,3.0,1.6,-0.3
Jon Rauch,1475,0.9,0.3,0.5,1.7,0.9,0.6,1.3,-0.6
Brian Duensing,4064,0.8,1.5,1.3,1.5,0.9,-0.1,-0.4,0.8
