Name,playerid,WAR24,WAR25,WAR26,WAR27,WAR28
Jason Jennings,434,2.2,1.5,1.4,4.2,0.4
Mike Jackson,732,0.6,0.1,1.5,0.4,0.9
Doug Davis,1244,0.5,3.6,0.6,0.7,4.4
Adam Wainwright,2233,1.2,3.7,2.4,5.2,5.0
Vida Blue,1001094,5.5,5.1,7.6,4.9,5.6
Dean Chance,1002130,3.2,2.9,6.9,7.7,1.3
Rich Gale,1004444,1.8,1.0,1.8,-0.1,1.5
Juan Guzman,1005162,3.4,5.5,4.3,1.8,1.8
Carlos Silva,973,0.1,2.6,2.1,-0.5,2.6
Josh Johnson,4567,2.0,5.6,6.1,1.7,3.3
Craig Kimbrel,6655,3.1,2.2,2.5,1.3,1.2
Jesse Jefferson,1006380,-0.2,0.0,-0.7,-0.4,2.4
Bob Ojeda,1009756,0.2,1.8,2.8,3.1,4.2
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8
Pascual Perez,1010185,0.9,1.3,4.0,2.6,0.2
Dan Spillner,1012342,-0.4,-0.5,1.3,1.4,1.4
Jordan Zimmermann,4505,-0.3,3.1,3.3,3.8,5.4
Vance Worley,6435,1.9,-0.2,1.4,0.4,0.1
Yovani Gallardo,8173,3.6,2.7,2.0,1.5,1.6
Ken Patterson,1010067,-0.8,-0.3,-0.2,-1.0,-0.3
Craig Swan,1012754,0.1,1.5,1.7,3.8,4.4
Mike Norris,1009637,1.0,6.0,0.9,-0.2,0.8
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6
Dan Miceli,1463,0.1,-0.6,0.3,1.1,0.2
Dallas Keuchel,9434,-0.5,1.1,3.4,5.6,2.4
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3
Greg Hibbard,1005764,2.2,3.5,1.0,1.2,2.2
Jon Matlack,1008246,7.5,4.4,4.4,2.6,6.8
Zach McAllister,2895,1.7,1.6,1.4,0.9,0.4
Gene Brabender,1001293,0.9,2.0,1.2,0.6,1.1
Rick Waits,1013494,1.4,1.5,2.8,1.7,3.0
Paul Quantrill,669,1.2,-0.1,2.0,0.3,1.9
Gil Meche,1089,1.5,1.1,0.5,1.9,3.7
Francisco Liriano,3201,1.4,0.7,5.6,0.6,1.5
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8
Neal Heaton,1005568,1.3,2.0,0.9,2.3,-1.0
Phil Regan,1010785,0.4,1.3,0.3,1.0,0.4
Mark Mulder,932,3.9,4.5,2.4,1.9,-0.5
John Candelaria,1001909,2.7,2.2,4.0,0.4,3.7
Bobby Jenks,8645,1.0,1.8,2.2,1.3,0.2
Ken Forsch,1004234,4.1,0.8,2.6,1.0,0.7
Wade Miller,568,2.8,3.4,3.3,1.2,1.0
Carlos Villanueva,4138,0.7,0.5,0.1,1.3,0.6
Cole Hamels,4972,4.7,3.7,3.6,5.1,4.6
Andy Hassler,1005480,1.5,2.2,1.7,0.9,0.6
Dan Schatzeder,1011527,1.3,2.1,-0.5,0.2,1.1
Pete Schourek,1011608,0.9,0.7,4.2,1.0,-0.4
Rod Scurry,1011700,0.2,0.5,1.0,-0.6,1.1
Livan Hernandez,1116,2.9,4.5,2.3,2.7,4.4
Kevin Millwood,106,5.5,4.0,0.9,4.6,4.7
Edwin Jackson,1841,1.5,3.7,3.2,3.4,2.1
Kevin Gross,1005088,3.6,1.5,0.8,2.4,1.6
Barry Latman,1007377,0.5,1.6,1.4,1.1,0.4
Fritz Peterson,1010227,3.5,2.8,3.6,6.8,4.4
Zack Greinke,1943,4.2,8.6,4.9,3.2,4.8
Ian Snell,2227,1.9,3.4,2.2,1.1,-0.5
Ubaldo Jimenez,3374,4.2,5.3,5.9,3.3,0.9
Lance Cormier,4346,0.1,0.1,-1.0,0.5,0.2
Paul Maholm,8678,1.4,1.8,3.2,3.7,1.8
David Cone,1680,0.5,5.3,3.3,5.0,6.5
Jose Quintana,11423,3.5,5.0,4.3,5.0,4.1
Nelson Briles,1001432,2.4,3.4,0.7,1.2,3.5
Mark Gubicza,1005115,3.8,6.2,6.3,1.6,2.1
Melido Perez,1010183,3.4,2.0,5.9,2.4,2.6
Luis Tiant,1013054,2.8,2.5,3.7,7.4,0.5
Tony Pena,4573,-0.1,0.7,1.0,0.7,0.2
J.C. Romero,754,0.6,0.3,1.6,-0.5,1.0
Blue Moon Odom,1009726,2.9,0.2,0.1,0.9,0.8
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9
Daniel Cabrera,1931,2.5,2.6,1.7,0.1,-0.3
Joe Blanton,4849,2.2,3.2,5.3,1.8,2.1
Ray Sadecki,1011360,1.2,-0.3,4.0,4.6,0.7
Lee Smith,1012175,2.7,2.4,2.1,2.7,1.8
Eric Gagne,650,0.0,1.3,3.6,4.7,3.4
Kyle Lohse,739,2.8,1.0,1.6,1.5,3.0
Felix Hernandez,4772,6.8,5.3,6.6,6.1,5.6
Steve Ontiveros,1009826,1.0,0.1,1.7,0.7,0.1
Oliver Perez,1514,0.1,2.7,1.6,-0.6,-1.1
Bert Blyleven,1001098,6.2,6.7,4.9,5.2,3.4
Bob Hendley,1005637,0.9,1.0,-0.9,0.4,-0.8
Anibal Sanchez,3284,0.3,0.7,4.2,3.7,3.5
Jeremy Hellickson,4371,2.0,0.8,1.3,0.2,1.0
Chris Sale,10603,4.9,5.1,5.6,5.4,7.5
Rich Gossage,1004894,2.0,4.2,2.4,1.0,3.2
Javier Vazquez,801,6.1,4.6,6.0,2.0,3.5
C.J. Wilson,3580,0.3,0.0,0.7,-0.5,1.8
Bill Lee,1007448,1.1,0.3,5.2,3.7,3.5
Bruce Ruffin,1011294,0.4,0.7,0.9,2.2,-0.3
Tom Glavine,90,2.9,5.4,4.6,3.3,3.6
Dennis Martinez,1008161,4.3,-0.2,2.8,1.9,0.7
Ralph Terry,1012929,2.2,2.6,4.0,3.3,0.3
Kevin Correia,1767,-0.4,1.0,1.1,0.4,3.1
Tommy Greene,1005013,2.8,0.2,4.8,0.1,-0.3
Erik Hanson,1005333,2.4,6.6,3.5,3.1,4.9
Calvin Schiraldi,1011563,1.3,0.3,2.8,-0.3,0.0
Larry Sherry,1011883,0.2,0.8,-0.2,-0.3,0.1
Blake Stein,632,-0.4,0.1,0.7,0.3,0.1
Eddie Guardado,727,0.3,0.3,0.4,0.0,0.4
Jason Hammel,4538,0.3,-0.2,3.5,3.2,1.1
Randy Myers,1009427,1.5,1.7,1.6,2.0,1.3
John Lackey,1507,1.8,3.1,5.3,5.3,5.0
Homer Bailey,8362,1.6,1.3,2.4,3.9,1.7
Jimmy Key,1006885,2.8,3.4,5.6,1.6,4.6
Dale Murray,1009383,1.0,1.6,1.1,-0.9,0.3
Jason Marquis,105,0.0,1.8,0.7,-0.5,1.4
Frank Viola,1013435,3.5,3.9,2.9,5.4,6.3
Greg Swindell,76,3.3,2.7,5.9,4.6,2.0
Greg Maddux,104,5.1,5.8,7.0,7.5,7.4
Tom Bradley,1001316,7.7,5.9,2.6,0.8,-0.4
Dave Bush,4635,1.9,1.2,3.8,2.2,1.3
John Maine,4773,-0.3,0.9,3.2,1.7,0.8
Paul Moskau,1009245,0.9,0.7,2.1,-0.4,-0.4
Jarrod Washburn,40,1.0,0.3,2.5,4.2,1.6
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1
Brian Meadows,998,0.7,-0.1,0.7,0.8,0.8
Clayton Kershaw,2036,6.2,7.3,8.0,8.7,6.4
Mike Hampton,430,3.1,2.3,4.9,4.6,1.9
Billy Koch,924,1.0,1.8,0.2,1.3,-0.3
Trevor Cahill,6249,2.4,0.7,0.6,0.1,-0.1
Jeanmar Gomez,9033,-0.1,0.2,-0.5,0.9,0.5
Armando Benitez,865,1.7,0.4,3.1,1.5,0.3
Steve Trachsel,898,0.7,1.6,1.7,1.8,2.5
David Hernandez,4259,-0.6,0.8,1.1,2.0,-0.3
Dick Stigman,1012534,0.8,0.5,1.5,3.3,1.5
Pat Zachry,1014407,3.6,1.2,1.4,0.2,0.9
Wayne Granger,1004945,0.2,0.8,0.4,0.1,0.0
Matt Young,1014385,3.3,1.3,3.5,1.7,1.1
Barry Zito,944,4.5,4.4,3.1,3.0,2.2
Ryan Madson,1852,0.8,0.9,0.4,1.2,1.2
Jim Beattie,1000731,0.7,1.0,1.7,4.2,4.5
Jack McDowell,1008473,2.9,5.2,4.8,5.2,4.9
Bill Monbouquette,1009048,4.1,5.2,5.4,3.0,2.8
Dave Stieb,1012532,4.8,5.1,5.6,4.5,0.8
Dick Ruthven,1011330,0.4,3.9,2.1,3.4,1.6
Wilson Alvarez,1193,2.8,1.5,4.2,3.8,1.3
Jim Acker,1000030,0.3,0.6,-0.1,1.5,0.2
Bruce Hurst,1006222,0.4,2.6,1.8,3.3,4.2
Scott Feldman,6283,-0.4,0.6,2.9,1.2,0.2
Dave Righetti,1010958,5.4,2.6,2.7,3.0,1.2
Bob Stanley,1012409,4.0,2.5,0.3,2.0,2.3
Odalis Perez,668,1.7,4.9,2.2,2.9,1.6
Dennis Leonard,1007531,2.4,3.8,7.9,4.7,2.5
Dave Stevens,1012508,-0.2,-0.9,-0.6,-0.5,-0.1
Ray Burris,1001729,2.4,2.8,2.1,1.8,0.1
Mike Moore,1009122,4.2,5.9,3.7,3.1,4.6
Brett Tomko,1056,1.5,3.6,1.4,0.5,-0.5
Bill Campbell,1001874,0.6,2.2,0.7,1.7,1.7
Joaquin Benoit,1437,0.7,-0.1,1.0,1.5,1.2
Hong-Chih Kuo,7016,1.4,0.4,2.2,0.4,2.3
Eric King,1006929,0.4,1.0,2.2,2.6,0.3
Ramon Martinez,1008193,1.1,1.9,1.9,2.2,2.0
Bob Welch,1013750,1.9,3.3,3.7,2.8,2.1
Bob Wickman,413,0.9,1.6,0.8,0.6,1.1
Jim Abbott,1000012,4.4,2.3,1.3,3.5,0.0
Mark Clark,1002296,0.2,0.5,1.6,1.8,3.7
Dave Lemanczyk,1007511,1.0,0.5,3.4,0.2,2.1
Jay Tibbs,1013055,2.8,0.6,0.8,0.9,0.2
Josh Beckett,510,3.3,4.2,1.0,5.7,4.3
Arthur Rhodes,1097,0.5,0.2,1.0,1.9,1.0
Steve Kline,1164,-0.6,0.8,0.6,1.1,1.2
Ismael Valdez,1283,2.2,2.2,0.4,2.0,2.4
Mark Langston,1007323,-0.7,4.1,6.4,4.0,4.8
Hector Santiago,4026,0.0,1.3,0.5,0.6,0.7
Gene Nelson,1009501,0.0,1.4,1.8,0.5,1.0
Carlos Marmol,2790,1.7,1.4,0.8,2.7,0.6
Dennis Bennett,1000838,1.3,1.5,0.9,-0.2,0.0
Darold Knowles,1007058,0.9,0.6,0.9,0.2,0.8
Joe Price,1010530,0.8,0.4,2.0,1.8,0.3
Chris Short,1011931,1.1,3.4,5.6,6.5,3.3
Bobby Witt,1014170,2.4,2.5,5.0,0.9,1.3
Zach Day,1496,0.2,1.4,1.2,-0.2,0.0
Stan Belinda,1000792,-0.3,-0.3,1.0,0.0,1.2
Andy Hawkins,1005514,0.2,2.0,1.3,0.3,1.5
Roger Pavlik,1010087,0.9,1.9,0.0,3.2,2.4
Ed Halicki,1005228,4.4,3.3,3.3,3.3,0.9
Dave McNally,1008655,0.7,4.5,4.7,4.9,1.8
Brad Penny,535,1.0,3.1,3.0,3.5,3.6
Sterling Hitchcock,824,2.0,2.7,0.7,1.5,3.0
Darryl Kile,1163,2.4,0.8,1.7,3.7,4.0
Ken Holtzman,1005989,5.8,3.6,2.7,5.0,5.5
Rick Sutcliffe,1012734,-0.4,-0.3,3.5,3.0,6.0
Todd Stottlemyre,75,1.2,2.7,2.6,1.4,3.0
Mike Mussina,837,2.8,3.4,5.1,5.3,5.4
Rod Beck,1730,1.4,-0.3,0.0,0.4,1.1
David Robertson,8241,0.7,0.8,2.3,1.5,1.3
Ron Schueler,1011622,1.1,1.8,1.5,0.9,0.4
Shawn Estes,873,3.6,1.8,2.4,3.0,2.1
Tim Lincecum,5705,7.2,7.5,4.3,3.5,0.9
Curt Young,1014368,1.1,-1.2,2.8,1.5,0.0
Charles Nagy,397,3.2,7.0,0.6,3.5,3.2
Danny Frisella,1004365,0.6,1.3,0.0,-0.2,-0.2
Randy Jones,1006582,2.5,4.3,4.6,1.5,4.1
Jake Arrieta,4153,0.8,-0.1,1.6,0.2,5.3
Dick Ellsworth,1003754,1.7,3.0,4.0,1.1,3.3
Francisco Rodriguez,1642,2.4,1.9,1.5,0.7,1.5
Dock Ellis,1003747,4.2,3.4,3.7,3.9,4.4
Mike Flanagan,1004133,0.6,4.4,4.5,6.0,2.9
Rick Honeycutt,1005992,1.5,2.2,2.5,1.5,0.9
Mitch Williams,1014025,-0.5,0.0,0.0,-0.7,0.3
Brandon Webb,1692,4.3,2.6,4.8,6.5,6.2
Justin Grimm,11720,0.6,0.7,0.6,0.5,-0.4
Steve Carlton,1001964,4.9,3.6,3.1,11.1,4.5
Jim Kaat,1006660,1.9,4.7,4.3,6.4,6.4
Eric Plunk,1010400,0.8,0.0,0.2,-0.1,0.3
Bill Singer,1012007,4.2,6.1,2.0,2.0,2.3
Ray Washburn,1013652,1.9,1.5,0.3,1.3,2.3
Jorge Julio,148,-0.4,0.0,-0.3,0.4,0.0
Shawn Chacon,424,-0.4,2.2,-1.1,1.5,-1.1
Braden Looper,526,0.5,0.1,0.1,0.5,1.2
Juan Nicasio,7731,1.3,0.9,2.1,-0.3,0.8
Joaquin Andujar,1000266,1.2,0.6,1.3,1.1,0.6
Andy Messersmith,1008799,2.3,3.5,3.5,3.2,5.6
Dwight Gooden,1004852,1.8,6.8,4.0,3.5,3.7
Matt Clement,271,2.1,1.6,1.8,4.7,2.9
Kyle Farnsworth,278,-0.3,2.0,-0.4,1.2,0.3
Randy Wolf,976,3.4,3.9,2.5,1.7,0.7
Derek Holland,4141,3.2,1.5,4.5,1.3,-0.1
Gio Gonzalez,7448,3.2,3.3,5.0,3.2,3.2
Mark Davis,1003067,1.5,1.6,0.8,2.8,2.2
Joe Horlen,1006025,1.4,0.7,4.5,4.0,3.1
Jim McAndrew,1008328,0.9,1.7,3.2,0.0,2.1
Jon Lester,4930,4.2,5.4,5.0,2.6,2.4
Stan Bahnsen,1000414,1.0,2.3,2.2,3.2,3.3
Denny Lemaster,1007512,1.4,1.9,1.8,2.0,2.3
Steve Trout,1013197,1.5,2.4,3.4,1.3,2.0
Danys Baez,367,2.2,0.8,0.5,0.4,0.9
Max Scherzer,3137,2.7,4.0,2.3,4.5,5.9
Cody Allen,12183,1.0,1.2,2.6,1.0,1.4
Doug Bird,1000976,1.5,1.6,2.8,1.4,0.8
Keith Foulke,231,0.0,0.4,2.9,2.5,2.6
Jonathan Papelbon,5975,0.3,3.1,2.1,2.8,1.9
Mudcat Grant,1004952,-0.7,1.6,0.0,1.6,1.7
Cecilio Guante,1005113,0.1,1.5,-0.2,0.1,0.1
Mark Buehrle,225,4.3,4.5,5.9,1.7,3.3
Jose Rijo,349,2.1,4.5,6.1,5.1,7.1
Joe Smith,3281,0.3,0.2,-0.2,1.3,0.8
Barry Jones,1006526,-0.3,-0.1,0.2,1.0,-0.3
Lew Krausse,1007146,0.4,1.0,-0.3,1.4,0.4
Scott Garrelts,1004546,1.5,1.8,1.3,3.8,1.1
Johan Santana,755,3.7,6.8,7.1,6.7,4.0
Johnny Cueto,6893,2.5,3.0,4.3,0.7,4.5
Ross Grimsley,1005071,4.2,0.9,1.1,0.7,2.7
Adam Eaton,1029,0.1,2.5,2.4,1.7,0.4
Garrett Richards,9784,0.2,1.7,4.2,2.8,0.8
Steve Blass,1001058,1.8,0.4,2.6,1.6,3.0
George Culver,1002870,2.4,0.4,0.7,0.5,0.3
Jerry Johnson,1006464,0.3,0.3,0.1,0.3,0.3
Tommie Sisk,1012018,0.6,2.3,0.4,0.4,-0.2
Tom Gordon,282,1.0,2.5,2.2,3.5,2.8
Fergie Jenkins,1006388,4.5,6.3,8.2,9.5,9.6
Don Sutton,1012745,3.9,1.9,7.1,6.8,6.0
Juan Rincon,752,0.7,2.4,2.2,1.4,-0.4
Jose Mesa,961,0.5,0.8,0.9,2.9,1.7
Matt Garza,3340,3.3,2.8,2.1,4.7,0.9
Bobby Bolin,1001146,1.4,1.4,1.6,1.9,-0.6
Don Robinson,1011061,-0.5,1.0,0.0,2.0,0.8
CC Sabathia,404,3.6,5.0,6.4,7.4,5.8
Joe Sambito,1011392,0.3,1.2,1.8,1.4,2.2
Hipolito Pichardo,1472,0.6,0.6,0.9,-0.2,1.3
Addison Reed,10586,1.6,-0.2,1.0,2.4,0.9
Ron Darling,1002989,2.2,3.5,2.0,2.6,2.7
Dan Haren,1757,3.7,3.8,4.7,6.1,5.3
Marc Rzepczynski,6612,0.4,0.7,-0.6,0.2,0.6
Tony Cloninger,1002359,3.8,1.5,-0.2,0.4,0.1
Tommy John,1006515,2.6,2.9,3.8,4.4,4.5
Milt Pappas,1009989,2.1,4.8,3.0,3.7,3.8
Brad Radke,748,4.9,4.2,3.7,4.2,4.5
Esteban Loaiza,1310,-0.2,2.9,1.0,2.5,2.9
John Wasdin,1768,0.5,0.3,0.1,0.6,0.4
Phil Hughes,7450,3.1,0.5,1.9,1.0,6.4
Jerry Reuss,1010853,4.0,2.5,4.6,2.9,3.9
