Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12,WAR13,WAR14
Mike Timlin,1187,1.5,0.7,0.2,0.2,1.3,1.4,0.6,1.8,0.3,0.1,0.7,-0.3,1.0,0.7
Dave Stieb,1012532,1.6,4.3,2.9,4.8,5.1,5.6,4.5,0.8,2.5,3.1,2.7,4.3,0.8,0.4
Rick Aguilera,1000086,2.0,1.6,1.6,3.6,1.3,1.5,0.8,1.0,0.8,1.3,1.5,0.8,1.4,0.8
Trevor Hoffman,1035,0.4,1.6,0.1,2.9,2.3,3.1,2.2,2.6,0.3,2.0,1.8,1.7,1.3,1.9
Gene Garber,1004493,1.0,-0.1,0.4,1.8,2.3,1.2,1.1,0.9,0.7,2.2,-0.1,0.9,0.8,2.0
Dave Righetti,1010958,3.5,2.9,5.4,2.6,2.7,3.0,1.2,1.4,1.2,-0.4,0.6,0.3,-0.8,0.6
Ray Burris,1001729,1.4,0.3,2.4,2.8,2.1,1.8,0.1,0.6,1.2,-0.5,1.5,1.9,0.8,-0.7
Mike Moore,1009122,0.4,2.4,4.2,5.9,3.7,3.1,4.6,4.4,1.3,3.4,1.4,0.3,-0.3,0.0
Bill Campbell,1001874,0.6,2.2,0.7,1.7,1.7,1.8,0.2,0.2,0.2,0.9,2.0,0.6,0.2,0.4
Joaquin Benoit,1437,0.7,-0.1,1.0,1.5,1.2,1.8,-0.2,1.7,1.2,0.1,1.4,1.2,0.2,0.5
Bob Welch,1013750,2.4,1.0,2.9,1.9,3.3,3.7,2.8,2.1,5.4,4.5,3.0,3.0,1.8,0.6
Bob Wickman,413,0.7,0.9,1.6,0.8,0.6,1.1,1.0,0.8,1.8,2.0,0.7,-0.3,1.6,0.3
Arthur Rhodes,1097,0.1,2.0,-0.4,0.5,0.2,1.0,1.9,1.0,-0.4,1.6,2.5,2.9,0.9,-0.6
Mark Langston,1007323,4.4,-0.7,4.1,6.4,4.0,4.8,4.6,3.0,5.4,5.6,1.6,4.1,1.7,0.0
Darold Knowles,1007058,0.9,0.6,0.9,0.2,0.8,0.6,0.0,-0.2,-1.1,1.7,0.4,-0.2,-0.2,-0.3
Bobby Witt,1014170,0.8,1.7,2.4,2.5,5.0,0.9,1.3,3.2,0.9,3.6,2.5,1.5,-0.3,1.8
David Weathers,902,0.9,1.0,0.4,0.4,1.9,0.1,0.5,1.1,0.5,0.7,-0.3,0.7,-0.4,1.3
Ken Holtzman,1005989,3.0,0.2,2.3,5.1,5.8,3.6,2.7,5.0,5.5,3.6,1.7,0.2,-0.9,-0.1
Rick Sutcliffe,1012734,2.7,-0.4,-0.3,3.5,3.0,6.0,2.4,1.5,3.4,3.2,3.7,1.3,3.0,0.5
Mike Mussina,837,1.7,5.3,2.8,3.4,5.1,5.3,5.4,5.1,6.0,6.4,6.9,4.5,6.1,3.0
Tom Candiotti,1001911,0.6,0.2,4.3,1.3,4.5,4.4,2.3,5.8,3.5,4.2,2.5,2.7,1.1,0.2
Jesse Orosco,667,-0.3,1.3,2.2,1.0,0.9,0.4,1.6,-0.4,1.1,-0.5,0.5,0.3,2.0,0.1
Francisco Rodriguez,1642,0.6,3.7,1.5,2.4,1.9,1.5,0.7,1.5,1.3,0.2,0.3,-0.6,1.0,0.7
Mike Flanagan,1004133,0.6,4.4,4.5,6.0,2.9,1.5,2.7,1.8,2.4,0.3,2.6,3.1,1.1,2.2
Rick Honeycutt,1005992,1.5,2.2,2.5,1.5,0.9,2.8,1.9,1.5,3.1,1.8,0.4,0.6,0.9,0.0
Tim Belcher,1000789,0.8,4.1,3.3,1.5,4.1,3.1,3.0,1.2,1.7,3.8,1.9,1.9,0.1,-0.1
Steve Carlton,1001964,0.9,4.4,4.0,4.9,3.6,3.1,11.1,4.5,5.3,3.5,5.1,5.1,2.8,4.3
Jim Kaat,1006660,-0.3,3.8,5.4,1.9,4.7,4.3,6.4,6.4,3.9,3.5,3.2,5.9,2.6,2.7
Eric Plunk,1010400,-0.5,1.1,0.8,0.0,0.2,-0.1,0.3,1.5,1.6,1.1,1.7,-0.3,0.5,-1.0
Dwight Gooden,1004852,8.3,8.9,4.8,4.5,6.0,1.8,6.8,4.0,3.5,3.7,0.1,2.1,0.4,1.8
