"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Catfish Hunter","1006199","0.3","1.8","5.2","1.4","1.3","3.1","3.2","4.5","0.5","6.3","5.7","3.9","-0.8","F"
"Julian Tavarez","    541","-0.1","1.6","0.9","0","0.3","-0.3","1.5","2.2","1","1.1","1.3","0.3","0","A"
"Al Leiter","    883","0.5","0.3","0.9","2.5","3","3.4","1.3","4.8","3.3","4.8","3.8","3.2","2.4","F"
"Doyle Alexander","1000122","0.9","1.1","0.8","0.6","1.2","1.3","1.7","1.4","1.2","2.9","1.6","-0.3","1","A"
"Grant Jackson","1006298","1.1","0.6","4.3","1.5","1.1","0.9","0.7","0.7","0.7","0.9","-0.5","0.4","-0.7","A"
"Kent Tekulve","1012905","0.3","1.7","1.3","1.4","2.1","0","1.2","0.6","1.9","0.2","0.2","2","1.1","A"
"Lindy McDaniel","1008441","2.6","0.7","1.3","0.6","1.6","0.5","1.9","0.4","0.1","1.3","1.8","-1","0.3","A"
"Woodie Fryman","1004381","3","0.3","2.9","3","2.4","3.1","2.7","1.7","0.9","2.3","2.6","-0.3","1.1","B"
"Dave LaRoche","1007354","0","1","0.1","-0.3","-0.1","1.3","2.6","0.3","0.6","-0.2","1.1","0.2","0.7","A"
"Chan Ho Park","   1267","1.1","2.1","3.7","1.2","3.9","4.3","1","-0.3","1.9","0.8","0.2","1.4","0","E"
"Kenny Rogers","   1277","0.8","1.3","-0.5","1.1","3.6","2.5","3","2.2","0.6","4.5","3.5","4.3","0.8","F"
"Sparky Lyle","1007859","0.6","0.8","1.3","0.6","0.2","1.5","1.5","2","2","0.8","2.5","0.5","0.6","A"
"Kevin Appier","      3","3.2","4.7","4.8","6.8","4","5.3","6.3","5.2","2.7","2","3.4","2.6","0.1","K"
"Charlie Hough","1006050","0.3","-0.5","-0.3","-0.4","0.5","0","0","0.2","1.4","3.1","3.2","3.1","3.6","A"
