Name,playerid,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36
Stan Bahnsen,1000414,3.3,1.1,1.7,1.1,0.8,-0.6,-0.1,-0.1,-0.6
Mariano Rivera,844,1.2,2.1,1.9,3.2,1.4,2.5,2.5,2.9,2.2
Fred Norman,1009632,1.1,2.2,1.6,3.2,0.6,2.7,1.8,0.8,2.9
Mark Buehrle,225,3.3,4.3,3.0,4.0,3.1,1.6,2.2,3.7,2.0
Jim Bibby,1000945,1.9,1.9,2.6,2.5,3.8,1.0,2.5,2.6,1.7
Juan Berenguer,1000865,1.5,2.2,0.9,0.8,2.3,0.8,0.3,-0.1,0.7
Fergie Jenkins,1006388,9.6,4.8,4.2,7.8,2.7,3.7,2.3,5.3,2.0
Don Sutton,1012745,6.0,4.7,5.4,3.3,3.8,2.7,3.7,3.0,3.9
Jose Mesa,961,1.7,2.1,1.4,1.0,0.4,-0.9,0.4,1.6,0.6
Fernando Rodney,494,0.4,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2
Jeff Montgomery,1009071,1.6,1.6,1.4,2.6,1.0,0.8,-0.3,0.4,0.4
Terry Mulholland,665,4.6,3.8,2.9,0.5,0.1,2.5,1.3,1.4,2.1
Dave Giusti,1004748,3.8,1.2,1.3,0.4,1.1,0.2,1.7,0.4,-0.6
Greg Harris,1005415,0.3,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5
Jerry Reuss,1010853,3.9,1.0,2.9,4.6,2.5,5.5,4.8,1.2,2.6
Jeff Nelson,1092,2.2,1.3,1.0,0.4,0.3,1.3,1.1,0.5,1.1
Rick Rhoden,1010887,2.0,3.6,5.0,4.3,2.7,4.6,2.5,2.0,0.1
John Burkett,179,4.5,2.4,2.2,4.6,4.6,4.1,2.4,2.5,5.1
Shawn Camp,1855,0.2,0.2,0.4,-0.4,0.6,0.5,0.2,0.3,0.4
Mike Krukow,1007185,2.9,2.1,3.8,2.0,1.4,3.5,4.2,1.3,1.1
Juan Marichal,1008106,6.3,3.7,5.9,7.8,3.2,4.0,1.5,2.8,1.0
Jeremy Guthrie,2072,2.3,2.2,1.3,2.4,1.8,0.9,0.7,1.2,-0.8
Paul Assenmacher,1000344,1.6,1.4,2.2,0.7,0.5,0.7,0.8,1.4,1.0
Roger Clemens,815,8.5,7.6,3.7,4.2,2.4,6.8,10.7,8.2,3.2
Eddie Fisher,1004085,0.5,0.6,0.1,0.2,0.2,0.2,0.1,-0.3,0.9
Greg Minton,1008986,1.1,0.5,0.7,-0.4,-0.5,-0.7,-0.1,0.8,1.2
Paul Lindblad,1007614,-0.1,0.3,0.2,-0.3,1.5,1.3,0.9,-0.6,0.1
Jim Perry,1010213,0.6,1.7,2.9,1.8,2.3,5.5,6.7,0.3,2.3
Brian Fuentes,429,0.6,1.5,0.9,0.9,2.5,0.3,0.2,0.2,-0.5
Roy Halladay,1303,3.8,5.1,5.1,6.6,7.0,6.2,8.7,2.5,-0.7
Aaron Harang,1451,5.7,5.4,1.4,2.2,0.7,1.4,2.3,0.4,2.9
Tim Wakefield,219,2.6,1.0,1.8,1.6,0.7,-0.3,2.2,2.7,3.6
Jeff Reardon,1010741,1.0,1.2,0.1,0.7,1.6,0.6,0.2,0.1,0.7
Bob Knepper,1007031,1.6,2.6,1.7,2.8,3.5,0.1,1.1,-0.6,-0.2
Kevin Brown,642,4.4,3.4,4.5,6.7,6.5,9.6,7.3,6.8,3.0
Steve Reed,1053,-0.5,-0.1,1.7,0.3,-0.3,0.8,0.1,0.3,0.3
Dan Plesac,1319,0.9,0.0,0.6,-0.2,0.3,1.0,1.7,0.6,1.3
Mark Guthrie,876,0.2,1.0,1.1,-1.0,0.5,-0.1,0.5,0.3,0.6
Shigetoshi Hasegawa,1082,0.7,0.4,-0.4,0.6,0.5,0.6,0.7,0.5,0.4
Tom Henke,1005649,3.5,3.3,1.0,3.5,1.5,1.7,0.6,1.6,0.6
Frank Tanana,1012818,2.6,2.6,2.1,3.6,2.3,4.1,2.1,3.1,0.8
Jeff Fassero,279,1.3,1.3,3.5,2.9,3.6,5.9,5.0,3.1,-0.5
Mike Fetters,988,0.1,0.9,0.5,1.4,1.2,0.5,-0.3,0.0,-0.4
Ryan Franklin,1076,-0.1,1.4,1.0,1.3,0.9,-0.6,0.7,-0.4,0.8
Woody Williams,1190,0.3,0.9,1.4,1.3,1.5,1.9,2.0,1.9,4.5
Chuck Finley,384,2.9,1.3,5.1,3.4,4.4,5.0,2.9,4.4,4.4
Ken Johnson,1006477,0.6,4.5,4.1,2.9,3.9,2.3,1.9,0.7,0.6
Moe Drabowsky,1003474,0.6,0.0,1.3,1.4,0.2,0.8,0.0,0.4,-0.2
Tim Hudson,921,4.6,1.8,2.5,4.9,1.9,0.6,1.7,2.8,1.6
Tug McGraw,1008545,-0.1,-0.2,0.7,1.3,1.1,1.2,0.3,2.5,0.6
Nolan Ryan,1011348,2.4,5.3,6.6,5.0,5.1,4.5,3.8,3.5,3.4
Rafael Betancourt,177,0.4,1.8,1.5,0.8,3.3,0.2,1.4,1.8,1.7
Steve Renko,1010835,2.7,3.7,0.7,3.3,1.2,2.0,2.3,1.8,1.0
Jack Morris,1009211,6.2,4.0,4.7,4.0,4.1,4.0,1.4,2.9,4.1
Jay Howell,1006098,2.9,2.3,0.9,0.0,2.2,1.5,0.8,1.1,0.5
Bob Tewksbury,1012941,0.3,2.9,2.6,4.0,4.3,2.0,3.2,3.8,4.0
Ron Kline,1007004,-0.2,2.3,0.5,1.1,0.8,0.5,-0.1,-0.3,0.3
Dan Quisenberry,1010622,1.1,1.5,2.7,1.5,2.7,1.3,0.6,0.4,0.9
Bronson Arroyo,978,2.4,4.6,3.4,2.2,1.4,1.2,-1.6,2.2,1.1
Rudy May,1008310,1.5,2.7,4.0,2.2,2.2,1.1,1.4,4.1,2.4
Dave Veres,1188,1.8,0.2,0.3,1.5,0.2,1.5,-0.2,-0.3,0.4
Phil Niekro,1009583,3.6,3.6,6.3,1.8,4.3,6.0,3.2,7.2,3.6
Buddy Groom,143,0.2,-0.3,0.6,0.1,0.6,1.1,1.1,1.9,1.4
Ted Power,1010504,0.0,1.4,0.4,1.1,2.0,0.8,1.1,0.3,0.4
Randy Johnson,60,3.4,7.0,5.2,9.5,1.6,7.0,7.6,9.5,9.6
Aaron Sele,34,4.7,4.9,4.3,2.7,1.3,-0.1,0.6,0.1,1.2
Kevin Tapani,1012824,4.5,4.3,3.4,2.2,2.7,1.6,2.1,2.6,2.3
Ron Reed,1010773,2.9,3.1,2.5,3.3,6.9,2.2,1.7,1.8,0.5
Roberto Hernandez,605,1.9,0.8,1.0,3.2,1.2,0.4,2.2,1.0,0.5
Milt Wilcox,1013939,3.0,2.8,2.0,2.8,2.4,2.0,3.6,0.2,-0.2
