Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Derek Lowe,199,2.4,1.6,4.6,2.4,2.2,2.8
J.A. Happ,7410,1.0,0.7,1.8,1.0,1.2,3.2
Dennis Lamp,1007284,1.4,2.3,3.4,1.7,0.0,2.0
Mike Marshall,1008144,0.8,0.3,1.8,1.6,4.4,0.4
Jon Matlack,1008246,2.6,6.8,1.2,5.2,0.8,1.7
Bob Bruce,1001573,1.0,0.1,1.6,2.7,4.9,3.4
Rick Waits,1013494,1.7,3.0,1.9,0.4,0.6,0.6
Wilbur Wood,1014248,0.4,1.9,8.7,6.1,7.4,4.7
Paul Quantrill,669,0.3,1.9,1.6,0.2,0.9,1.7
Francisco Liriano,3201,0.6,1.5,3.1,1.6,3.3,0.5
Bob Gibson,1004662,4.4,5.8,5.1,6.0,4.3,8.6
Neal Heaton,1005568,2.3,-1.0,0.4,0.9,-0.1,-0.3
Phil Regan,1010785,1.0,0.4,1.6,0.7,0.4,1.0
Jason Vargas,8044,3.4,2.7,1.5,1.7,2.3,0.4
John Candelaria,1001909,0.4,3.7,4.5,3.3,1.8,3.0
John Wyatt,1014303,1.0,0.2,-1.3,-0.2,1.0,0.7
Matt Lindstrom,4604,1.4,0.9,0.0,0.2,0.8,0.6
Ken Forsch,1004234,1.0,0.7,0.5,1.5,2.4,1.8
Ted Lilly,833,3.1,3.0,0.5,2.1,3.8,2.8
Carlos Villanueva,4138,1.3,0.6,1.2,1.3,0.2,-0.7
Cole Hamels,4972,5.1,4.6,4.6,4.5,4.5,3.3
Dan Schatzeder,1011527,0.2,1.1,1.3,0.8,-0.4,0.0
Pete Schourek,1011608,1.0,-0.4,0.8,0.4,0.8,-0.2
Livan Hernandez,1116,2.7,4.4,4.4,2.4,2.0,0.2
Kevin Millwood,106,4.6,4.7,2.9,3.4,4.3,2.1
Edwin Jackson,1841,3.4,2.1,2.2,0.7,0.0,-0.2
Wandy Rodriguez,2586,1.1,3.1,2.9,4.2,3.5,1.5
Frank DiPino,1003320,0.8,-0.9,-0.2,0.8,0.8,0.5
Kevin Gross,1005088,2.4,1.6,2.4,0.9,3.4,3.2
Fritz Peterson,1010227,6.8,4.4,4.1,2.9,1.3,1.5
Bryn Smith,1012104,1.7,2.1,5.1,2.1,2.5,3.2
Zack Greinke,1943,3.2,4.8,3.5,4.5,5.4,2.3
Ubaldo Jimenez,3374,3.3,0.9,3.5,0.4,2.6,1.6
Ricky Nolasco,3830,2.2,3.2,2.3,3.5,1.3,0.8
Paul Maholm,8678,3.7,1.8,2.0,1.7,0.5,-0.5
Gabe White,360,0.2,3.0,-0.8,1.3,0.4,-0.3
Dave Mlicki,569,1.3,0.8,2.4,1.3,2.7,0.8
David Cone,1680,5.0,6.5,5.2,3.9,3.8,4.5
