Name,playerid,WAR21,WAR22,WAR23,WAR24
Kyle Davies,3642,0.7,-0.2,0.2,1.5
Bob Wolcott,1014184,0.2,0.9,0.0,-0.1
Tom Underwood,1013281,3.4,2.2,1.0,2.0
Moose Haas,1005172,1.8,0.3,1.3,4.0
Jim Nash,1009458,3.0,3.0,3.7,0.8
Joe Coleman,1002428,2.5,2.8,2.0,7.1
Brian Bohanon,1001126,-0.4,0.9,-0.2,0.1
Sid Fernandez,1004001,0.9,3.1,4.0,1.9
Len Barker,1000546,1.2,-0.5,2.4,5.2
Todd Van Poppel,1284,-0.2,-0.4,1.8,-1.1
Jeff Russell,1011314,0.7,1.7,0.3,0.0
Milt Wilcox,1013939,0.2,0.2,0.8,-0.5
