Name,playerid,WAR22,WAR23,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29
Bobby Witt,1014170,0.8,1.7,2.4,2.5,5.0,0.9,1.3,3.2
Andy Hawkins,1005514,0.2,1.1,0.2,2.0,1.3,0.3,1.5,1.1
Dave McNally,1008655,2.3,3.0,0.7,4.5,4.7,4.9,1.8,3.0
Brad Penny,535,1.2,4.6,1.0,3.1,3.0,3.5,3.6,4.4
Sterling Hitchcock,824,0.4,0.8,2.0,2.7,0.7,1.5,3.0,0.4
Darryl Kile,1163,0.0,0.8,2.4,0.8,1.7,3.7,4.0,3.2
Ken Holtzman,1005989,2.3,5.1,5.8,3.6,2.7,5.0,5.5,3.6
Mike Mussina,837,1.7,5.3,2.8,3.4,5.1,5.3,5.4,5.1
Rod Beck,1730,0.4,2.7,1.4,-0.3,0.0,0.4,1.1,1.1
Dick Ellsworth,1003754,2.2,6.6,1.7,3.0,4.0,1.1,3.3,1.9
Francisco Rodriguez,1642,3.7,1.5,2.4,1.9,1.5,0.7,1.5,1.3
Steve Carlton,1001964,4.4,4.0,4.9,3.6,3.1,11.1,4.5,5.3
Jim Kaat,1006660,3.8,5.4,1.9,4.7,4.3,6.4,6.4,3.9
Eric Plunk,1010400,-0.5,1.1,0.8,0.0,0.2,-0.1,0.3,1.5
Andy Messersmith,1008799,1.3,5.0,2.3,3.5,3.5,3.2,5.6,5.9
Dwight Gooden,1004852,4.5,6.0,1.8,6.8,4.0,3.5,3.7,0.1
Randy Wolf,976,0.8,2.9,3.4,3.9,2.5,1.7,0.7,-0.1
Derek Holland,4141,0.6,0.9,3.2,1.5,4.5,1.3,-0.1,1.1
Gio Gonzalez,7448,-0.7,1.1,3.2,3.3,5.0,3.2,3.2,3.6
Mark Davis,1003067,0.5,0.4,1.5,1.6,0.8,2.8,2.2,-0.6
Jon Lester,4930,1.0,0.2,4.2,5.4,5.0,2.6,2.4,3.3
Steve Trout,1013197,3.2,1.8,1.5,2.4,3.4,1.3,2.0,1.6
